3-Li-7(n,&gamma;) ENDF/B-VII.1
1.0E-5,2.28447
1.30374E-5,2.00074
1.71104E-5,1.74644
2.22778E-5,1.53055
2.92376E-5,1.33602
3.80674E-5,1.17087
4.996E-5,1.02205
6.50481E-5,0.89571
8.53698E-5,0.781866
1.11152E-4,0.685214
1.45877E-4,0.598124
1.89932E-4,0.524186
2.49268E-4,0.457563
3.24548E-4,0.401
4.2594E-4,0.350034
5.54575E-4,0.306763
7.2783E-4,0.267774
9.47636E-4,0.234673
0.00124369,0.204846
0.00161928,0.179523
0.00212517,0.156706
0.00276697,0.137334
0.0036314,0.119878
0.00472809,0.105059
0.0062052,0.0917057
0.00807918,0.0803689
0.0106032,0.070154
0.0138054,0.0614813
0.0181183,0.0536672
0.0244451,0.0462041
0.0253,0.0454169
0.033204,0.0396455
0.0432317,0.0347459
0.0567377,0.0303306
0.0738726,0.0265818
0.0969512,0.0232025
0.126231,0.0203349
0.165666,0.0177516
0.215698,0.0155538
0.283085,0.0135809
0.368577,0.011901
0.483724,0.0103886
0.629809,0.00910437
0.826569,0.00794667
1.07619,0.00696474
1.41241,0.00608003
1.83896,0.00532756
2.41347,0.00465114
3.14234,0.00407655
4.12404,0.00355787
5.36951,0.00311822
7.04701,0.00272174
9.17522,0.00238541
12.0417,0.00208253
15.6783,0.00182554
20.5763,0.0015928
26.6441,0.00139952
34.9681,0.00122157
47.7944,0.00104558
65.4997,8.92484E-4
88.2812,7.69024E-4
121.607,6.47605E-4
158.381,5.58885E-4
209.051,4.79052E-4
280.323,4.06497E-4
371.361,3.47663E-4
486.428,2.98939E-4
633.526,2.57987E-4
845.897,2.19576E-4
1000.0,2.00069E-4
1505.32,1.76965E-4
2265.28,1.56366E-4
3387.0,1.38613E-4
5028.33,1.22995E-4
7576.38,1.0878E-4
10452.5,9.73593E-5
13664.7,8.22422E-5
17557.0,7.0363E-5
22669.0,5.99431E-5
29306.2,5.10022E-5
38324.5,4.31558E-5
50000.0,3.65008E-5
65952.6,3.12463E-5
84102.0,2.73228E-5
106131.0,2.43684E-5
140000.0,2.15012E-5
180000.0,2.25019E-5
200000.0,2.55014E-5
230000.0,3.29982E-5
260000.0,3.74905E-5
281719.0,2.9888E-5
313340.0,2.16439E-5
337455.0,1.69363E-5
350000.0,1.5001E-5
385512.0,1.19912E-5
400000.0,1.10006E-5
465231.0,8.86676E-6
550654.0,6.87497E-6
600000.0,6.00035E-6
899153.0,5.197E-6
1000000.0,5.00005E-6
2610940.0,4.6579E-6
7025010.0,4.3242E-6
1.75642E7,4.04082E-6
2.0E7,4.0E-6
