82-Pb-207(n,elastic) ENDF/B-VII.1
1.0E-5,44.2152
1.31241E-5,38.8997
1.70876E-5,34.4273
2.2426E-5,30.4443
2.91987E-5,27.1135
3.83206E-5,24.17
4.98935E-5,21.7326
7.15281E-5,18.99
1.02543E-4,16.8294
1.46564E-4,15.1726
2.09482E-4,13.9192
3.28683E-4,12.7978
5.61641E-4,11.9524
0.00114736,11.3375
0.00335015,10.9495
0.0235315,10.7762
0.0253,10.7742
3003.2,10.6362
3057.02,10.7511
3059.1,10.9477
3060.04,11.4297
3060.37,11.9732
3060.69,13.0854
3060.94,14.5644
3061.18,16.8559
3061.44,20.4286
3061.76,26.4945
3062.45,42.5203
3062.75,47.161
3063.0,48.4611
3063.27,46.939
3063.57,41.972
3064.34,24.429
3064.63,19.301
3064.86,16.3565
3065.13,14.0756
3065.46,12.4437
3065.73,11.7566
3066.38,11.1044
3068.26,10.783
3119.45,10.6315
10068.9,10.3542
10169.3,10.4601
10176.8,10.7918
10178.9,11.3317
10179.8,12.0319
10180.4,13.0906
10180.9,14.7393
10181.3,16.9339
10181.8,20.681
10182.3,25.6837
10182.9,34.4194
10184.0,52.1098
10184.6,58.0796
10185.0,59.6431
10185.5,57.6836
10186.0,52.3016
10187.5,28.6627
10188.0,22.3889
10188.4,18.5295
10188.9,15.8014
10189.4,13.6984
10189.9,12.4492
10190.8,11.4639
10192.2,10.9273
10195.6,10.5787
10221.2,10.3613
12181.0,10.2642
12336.2,10.4093
12346.3,10.8079
12349.1,11.3455
12350.7,12.2103
12351.7,13.4845
12352.5,15.3523
12353.2,18.0522
12353.9,22.2364
12354.9,30.4125
12355.9,38.9164
12356.6,42.3233
12357.0,42.9582
12357.6,41.5496
12358.3,37.3387
12360.0,22.7016
12360.6,18.8227
12361.2,16.0167
12361.8,14.1323
12362.5,12.8635
12363.1,12.0905
12364.4,11.3038
12367.4,10.6896
12374.6,10.3745
12601.7,10.2368
15571.8,10.1227
16368.8,10.3278
16526.3,10.81
16594.9,11.5662
16632.0,12.5613
16654.2,13.7092
16672.7,15.3839
16687.6,17.6971
16698.7,20.5466
16708.0,24.274
16715.4,28.7903
16721.9,34.5888
16727.4,41.6997
16732.5,50.7867
16737.4,62.6042
16743.2,81.4838
16751.3,112.858
16755.0,122.95
16758.1,125.873
16761.3,122.634
16766.0,108.937
16775.5,72.5955
16780.7,57.4359
16785.6,46.8824
16791.2,38.038
16796.9,31.8114
16802.5,27.4216
16809.9,23.2921
16819.2,19.8592
16830.3,17.2152
16845.6,15.0019
16865.5,13.3613
16891.4,12.1999
16935.9,11.2429
17023.0,10.5604
17277.0,10.1343
28904.8,9.02642
29216.1,9.20008
29286.5,9.63134
29315.6,10.2561
29330.2,10.9544
29342.7,12.12
29350.4,13.4176
29356.4,15.0929
29361.5,17.3142
29365.5,20.0589
29369.1,23.6821
29372.1,28.2955
29374.9,34.6236
29377.4,42.4023
29379.7,52.9364
29382.5,69.5043
29387.1,100.055
29388.7,106.769
29390.1,108.752
29392.3,104.13
29395.0,88.4312
29399.1,60.6301
29401.7,46.9517
29404.2,37.6267
29406.6,31.0129
29409.5,25.6633
29413.0,21.2856
29417.1,18.0462
29422.1,15.4869
29427.6,13.7517
29434.5,12.3852
29446.6,11.0559
29461.2,10.2589
29490.3,9.57313
29559.8,9.1153
29948.0,8.84236
33960.8,7.86579
36196.0,6.83568
37288.2,6.18815
37460.9,6.34915
37537.1,6.76458
37575.2,7.28883
37605.1,8.11192
37622.2,8.94074
37639.4,10.2937
37650.8,11.7185
37662.2,13.8853
37672.2,16.8086
37680.3,20.3214
37687.9,25.0533
37694.6,30.7219
37703.5,40.6883
37713.4,52.1133
37717.8,54.9784
37720.5,55.4939
37726.1,53.301
37732.8,46.3602
37744.4,32.4863
37752.1,25.4494
37759.4,20.6642
37767.0,17.1033
37775.9,14.2275
37784.1,12.366
37795.6,10.5932
37809.9,9.16496
37829.9,7.95834
37847.0,7.31836
37885.1,6.50771
37945.0,5.91973
38064.0,5.42841
38476.9,4.69636
39547.3,3.08321
39792.0,2.8686
39853.2,2.85372
40006.1,2.93749
40128.4,3.18305
40220.2,3.51846
40311.9,4.06619
40403.7,4.85439
40480.1,5.80668
40541.3,6.7852
40602.5,8.01034
40685.0,10.1126
40770.7,13.0106
40868.5,17.3555
40978.6,23.6249
41264.9,42.6836
41394.6,48.2607
41529.1,50.1023
41712.6,47.7834
42238.7,35.0299
42575.1,29.3732
42972.7,24.9879
43492.6,21.4321
44196.0,18.5907
45174.7,16.3635
46642.7,14.5795
48967.0,13.1728
53187.5,12.0184
61445.0,11.0931
68020.4,10.718
68310.1,10.885
68333.8,11.3423
68340.6,11.9152
68345.0,12.9243
68347.9,14.4681
68350.0,16.6575
68351.8,19.5069
68354.3,25.1378
68357.2,32.3125
68359.0,35.0206
68360.1,35.5448
68361.7,34.4481
68364.0,29.9196
68367.6,21.0235
68369.3,17.6515
68371.1,15.315
68372.5,14.0639
68374.5,12.9504
68376.5,12.2938
68380.8,11.5914
68390.8,11.052
68434.1,10.7345
72123.3,10.554
72812.6,10.7373
72908.8,11.1725
72948.9,11.953
72968.9,13.0534
72980.9,14.463
72988.9,16.1438
72995.0,18.143
73001.2,21.2997
73006.8,25.4334
