82-Pb-208(n,elastic) ENDF/B-VII.1
1.0E-5,46.6759
1.31241E-5,41.066
1.70876E-5,36.3462
2.2426E-5,32.143
2.91987E-5,28.6283
3.83206E-5,25.5226
4.98935E-5,22.9512
7.13124E-5,20.0798
1.01926E-4,17.8133
1.45682E-4,16.0587
2.08223E-4,14.7312
3.26707E-4,13.5434
5.58264E-4,12.6479
0.00114047,11.9965
0.00348129,11.5762
0.0239575,11.4012
0.0253,11.3996
47246.8,10.5396
47260.1,10.5588
64945.8,10.304
69618.7,10.532
70427.0,11.0112
70704.8,11.6782
70846.3,12.5844
70927.1,13.6797
70987.7,15.2349
71033.2,17.3609
71063.5,19.7353
71090.0,23.0243
71112.8,27.4606
71131.7,33.1171
71148.8,40.6435
71165.8,51.4278
71196.9,77.2894
71208.4,82.9439
71213.0,83.4012
71222.1,80.8316
71236.3,69.7496
71258.6,48.496
71272.3,38.5516
71285.1,31.6378
71298.4,26.496
71313.6,22.3522
71332.5,18.871
71351.4,16.567
71374.2,14.735
71396.9,13.5197
71442.4,12.0878
71508.1,11.1087
71634.3,10.4285
71943.1,10.1372
72067.4,10.1242
74511.7,10.7086
75566.1,11.546
76189.1,12.7478
76596.5,14.3279
76908.0,16.5051
77147.7,19.3427
77339.4,22.9601
77483.2,26.9859
77627.0,32.752
77770.7,40.9934
77924.1,53.0974
78135.0,71.6944
78239.9,76.7323
78278.8,77.1097
78374.6,74.4177
78518.4,63.6959
78726.9,46.2977
78873.0,37.1724
79016.8,30.7384
79184.6,25.5555
79376.3,21.5955
79615.9,18.4194
79927.4,15.9114
80334.8,14.0334
80933.9,12.5693
81892.4,11.4789
83713.7,10.6865
85798.5,10.3459
86243.2,10.5268
86363.9,11.0432
86414.8,11.7546
86448.8,12.8251
86474.2,14.4468
86491.2,16.3828
86503.2,18.526
86515.8,21.8307
86528.3,26.646
86549.4,37.086
86559.8,40.0173
86562.3,40.1636
86569.1,39.3577
86579.6,35.4226
86600.7,25.7625
86614.9,21.2304
86629.8,18.13
86646.7,15.8958
86672.2,13.9616
86697.6,12.8804
86748.6,11.7885
86831.5,11.0795
87050.3,10.5559
88257.1,10.2141
108023.0,9.60833
114366.0,9.46966
115920.0,9.69169
116364.0,10.2519
116586.0,11.1296
116705.0,12.1297
116800.0,13.5563
116871.0,15.3415
116931.0,17.6765
116978.0,20.4568
117026.0,24.4902
117073.0,30.1742
117126.0,39.2437
117179.0,48.9941
117215.0,53.4447
117236.0,54.1818
117261.0,53.0469
117303.0,47.4997
117385.0,34.1482
117438.0,27.6586
117497.0,22.7476
117557.0,19.4942
117616.0,17.2864
117712.0,15.0259
117830.0,13.3821
118021.0,11.9904
118330.0,10.9698
118933.0,10.2398
120550.0,9.753
129685.0,9.38032
130082.0,9.53598
130118.0,9.87921
130133.0,10.4081
130142.0,11.255
130146.0,12.1191
130150.0,13.6341
130153.0,15.7034
130155.0,18.3325
130158.0,22.1488
130161.0,28.1178
130166.0,40.4155
130168.0,44.5346
130170.0,45.2764
130172.0,43.8968
130175.0,39.7262
130181.0,24.4267
130184.0,19.5754
130186.0,16.5886
130189.0,14.2084
130192.0,12.9262
130197.0,11.7108
130203.0,10.833
130209.0,10.3787
130229.0,9.81254
130285.0,9.48657
132532.0,9.32367
153156.0,8.89392
153200.0,8.98782
153217.0,9.31529
153226.0,9.99589
153230.0,10.8048
153233.0,12.0711
153236.0,13.7286
153239.0,16.1392
153243.0,21.4366
153247.0,26.7988
153250.0,28.6717
153251.0,28.7666
153254.0,27.82
153258.0,24.1998
153263.0,17.7202
153267.0,14.9299
153270.0,13.1167
153274.0,11.8311
153280.0,10.8532
153289.0,10.1484
153304.0,9.69399
153350.0,9.28441
153638.0,9.04498
163424.0,8.74742
163459.0,8.82283
163473.0,9.13045
163479.0,9.7346
163483.0,10.572
163486.0,11.9913
163489.0,14.3147
163494.0,19.323
163498.0,23.2901
163501.0,24.4565
163501.0,24.4848
163504.0,23.6247
163508.0,20.3696
163513.0,15.2811
163516.0,13.4379
163519.0,11.9513
163524.0,10.7647
163531.0,9.97071
163542.0,9.5091
163581.0,9.1061
163856.0,8.88224
167766.0,8.74216
167927.0,8.82807
167962.0,9.17938
167972.0,9.64715
167976.0,10.2107
167981.0,11.374
