82-Pb-207(n,inelastic) ENDF/B-VII.1
572479.0,0.0
600000.0,0.103144
700000.0,0.229491
800000.0,0.321788
900000.0,0.39778
902175.0,0.398524
1000000.0,0.54678
1200000.0,0.730288
1400000.0,0.870196
1600000.0,0.993619
1641330.0,1.01676
1800000.0,1.11793
2000000.0,1.24207
2200000.0,1.36309
2351350.0,1.43789
2400000.0,1.48274
2600000.0,1.60581
2636290.0,1.60539
2675370.0,1.61852
2715170.0,1.64866
2740290.0,1.67482
2800000.0,1.75602
3000000.0,1.87297
3200000.0,1.96118
3239710.0,1.97076
3321110.0,2.00065
3400000.0,2.03771
3400490.0,2.03769
3444710.0,2.04215
3493940.0,2.05703
3527110.0,2.07148
3600460.0,2.11183
3617540.0,2.11399
3800000.0,2.18386
4200000.0,2.32275
4400000.0,2.3833
4600000.0,2.43412
4800000.0,2.47378
5000000.0,2.50217
5200000.0,2.51973
5400000.0,2.52817
5600000.0,2.52928
6200000.0,2.5108
6600000.0,2.49733
6800000.0,2.49832
7000000.0,2.48089
7200000.0,2.44257
7400000.0,2.38316
7600000.0,2.3113
7800000.0,2.22843
8000000.0,2.13571
8500000.0,1.86047
9500000.0,1.24653
1.0E7,0.980569
1.05E7,0.771763
1.1E7,0.616341
1.15E7,0.507088
1.2E7,0.433308
1.25E7,0.384905
1.3E7,0.353956
1.35E7,0.333565
1.4E7,0.319687
1.45E7,0.309711
1.5E7,0.301831
1.6E7,0.288828
1.7E7,0.280194
1.8E7,0.269322
1.9E7,0.259605
2.0E7,0.250792
2.0E7,0.0
2.0E8,0.0
