82-Pb-207(n,2n) ENDF/B-VII.1
6770630.0,0.0
6800000.0,2.86491E-4
7000000.0,0.0150425
7200000.0,0.0533808
7400000.0,0.115334
7600000.0,0.191517
7800000.0,0.280332
8000000.0,0.379748
8500000.0,0.671441
9000000.0,0.990419
9500000.0,1.29867
1.0E7,1.55964
1.05E7,1.75908
1.1E7,1.90407
1.15E7,2.00441
1.2E7,2.07264
1.25E7,2.11937
1.3E7,2.15217
1.35E7,2.17654
1.4E7,2.19491
1.45E7,2.20807
1.5E7,2.21668
1.6E7,2.19902
1.7E7,2.04592
1.8E7,1.73153
1.9E7,1.33786
2.0E7,0.986025
2.0E7,0.0
2.0E8,0.0
