9-F-19(n,elastic) ENDF/B-VII.1
856860.0,5.96595
858905.0,4.63776
860000.0,4.11871
861340.0,3.76231
863540.0,3.46076
866800.0,3.26266
874535.0,3.10382
893590.0,3.00127
897180.0,2.99852
915050.0,3.08188
928380.0,3.26893
930770.0,3.32941
935450.0,3.28788
940000.0,3.28926
980280.0,2.91422
997890.0,2.82039
998154.0,2.6359
1010000.0,1.693
1016210.0,2.17846
1017100.0,2.27468
1036600.0,2.26117
1060000.0,2.1188
1070000.0,2.11327
1084400.0,2.15671
1090000.0,2.19798
1098300.0,2.37972
1104400.0,2.69168
1111600.0,3.22152
1113100.0,3.25652
1116780.0,3.02757
1122200.0,2.40769
1130000.0,1.93166
1132700.0,1.86904
1141550.0,1.79927
1143100.0,1.79839
1152900.0,1.86396
1160000.0,1.98387
1167750.0,2.20858
1180000.0,2.71508
1190600.0,2.87535
1201500.0,3.08402
1203000.0,3.08593
1213100.0,3.03349
1220000.0,3.08684
1230700.0,3.41691
1237500.0,3.60431
1239800.0,3.60847
1248500.0,3.36739
1250000.0,3.34928
1251100.0,3.34945
1256300.0,3.26378
1270000.0,2.63191
1271750.0,2.8098
1273500.0,3.78364
1274300.0,4.38639
1275000.0,4.64831
1276250.0,4.28965
1277800.0,3.43198
1279000.0,3.20346
1280000.0,3.24695
1281650.0,3.01017
1283300.0,2.8781
1284900.0,2.84966
1287450.0,2.92115
1294900.0,3.46796
1298000.0,3.57572
1303020.0,3.41195
1309400.0,3.11495
1321300.0,2.92155
1330000.0,2.97332
1343350.0,2.84118
1370000.0,2.51083
1410000.0,2.22334
1470000.0,2.03901
1472000.0,2.04469
1480000.0,2.04225
1482000.0,2.04249
1484000.0,2.04173
1489500.0,2.04502
1490000.0,2.04467
1492200.0,2.04981
1492700.0,2.04846
1520000.0,2.15317
1560000.0,2.57133
1566000.0,2.48489
1581900.0,2.74451
1600000.0,2.7922
1620000.0,2.67948
1636700.0,2.84077
1641000.0,3.04935
1646800.0,3.51031
1651450.0,3.38444
1658050.0,3.00343
1666800.0,2.72264
1683750.0,2.51192
1760000.0,2.02219
1813500.0,1.78462
1872700.0,1.60172
1888500.0,1.59445
1905800.0,1.65495
1924350.0,1.81143
1946220.0,2.23559
1950700.0,2.32814
1981750.0,2.63874
1985700.0,2.65295
2000000.0,2.50119
2009200.0,2.50835
2037600.0,2.11845
2072900.0,1.84313
2118400.0,1.61647
2160500.0,1.50311
2190000.0,1.36284
2211380.0,1.45308
2224200.0,1.62139
2242400.0,2.23214
2264000.0,1.9123
2278800.0,1.94744
2299250.0,1.74471
2319700.0,1.61776
2331100.0,1.46736
2350710.0,1.57085
2383400.0,1.58949
2423200.0,1.80089
2466500.0,2.13405
2491500.0,2.11507
2528450.0,2.33377
2533600.0,2.34621
2647300.0,1.96022
2687200.0,2.03833
2772500.0,1.65152
2847600.0,1.64376
2992000.0,1.28493
3005950.0,1.3317
3047800.0,1.74442
3063720.0,1.73337
3084200.0,1.30696
3093300.0,1.30096
3125200.0,1.64808
3173000.0,1.25914
3203700.0,1.27789
3234400.0,1.41264
3251500.0,1.42256
3283490.0,1.29331
3336800.0,1.02459
3361800.0,1.04134
3386800.0,1.16122
3414100.0,1.50672
3427800.0,1.55918
3444210.0,1.46154
3465300.0,1.15499
3490180.0,1.1846
3505100.0,1.33028
3524960.0,1.00606
3540400.0,0.938663
3584800.0,1.35965
3615500.0,1.32007
3642800.0,1.45168
3665500.0,1.42558
3704200.0,0.869822
3745410.0,0.954367
3773600.0,1.19074
3835000.0,1.22404
3859340.0,1.10342
3899900.0,1.09515
3917000.0,1.18175
3953400.0,1.17698
3990900.0,0.9876
4018900.0,0.959902
4077150.0,1.19791
4112100.0,1.27979
4143750.0,1.18846
4198250.0,0.963683
4216500.0,0.934912
4253180.0,1.43691
4265400.0,1.50297
4298430.0,1.40119
4340900.0,0.99889
4403100.0,1.21449
4432000.0,1.18256
4500800.0,1.40361
4550400.0,1.36598
4615720.0,1.2404
4662900.0,1.12515
4687400.0,1.19261
4745100.0,0.911923
4798400.0,0.94735
4854000.0,0.933092
4905000.0,1.01207
4942800.0,0.97235
4976100.0,0.779164
5003050.0,0.799644
5045000.0,0.895063
5129400.0,1.00597
5213800.0,0.955299
5304800.0,0.7743
5440300.0,1.00963
5555280.0,0.966587
5593600.0,0.884798
5693500.0,0.864839
5733500.0,0.980225
5811200.0,0.966965
5866700.0,0.852217
5908900.0,0.966634
5968900.0,0.726209
6059700.0,0.672949
6099200.0,0.791327
6160000.0,0.783589
6195700.0,0.785097
6279100.0,0.638117
6300000.0,0.640223
6449250.0,0.630293
6498500.0,0.622673
6555500.0,0.717719
6617000.0,0.689256
6726700.0,0.42493
6810000.0,0.472617
6853900.0,0.572431
6998700.0,0.549529
7112800.0,0.721491
7220000.0,0.736487
7354100.0,0.684476
7427050.0,0.693808
7573500.0,0.747594
7674400.0,0.690845
7753400.0,0.763677
7849900.0,0.664076
8000000.0,0.691357
8143900.0,0.701377
8301900.0,0.754544
8631000.0,0.663532
8701200.0,0.779691
8720000.0,0.781173
8860000.0,0.774924
9000000.0,0.778736
9449500.0,0.762838
9719200.0,0.715318
1.0381E7,0.864946
1.0852E7,0.811392
1.2E7,0.898278
1.35985E7,0.923327
1.58005E7,1.03627
2.0E7,1.12284
