9-F-19(n,&gamma;) ENDF/B-VII.1
195050.0,7.87815E-5
197510.0,7.85651E-5
211590.0,8.1233E-5
220000.0,8.61495E-5
230000.0,9.73559E-5
235970.0,1.09129E-4
240888.0,1.24755E-4
245300.0,1.45546E-4
250350.0,1.8714E-4
252760.0,2.18895E-4
254920.0,2.59643E-4
256500.0,3.00603E-4
258500.0,3.67795E-4
260000.0,4.40467E-4
261595.0,5.4839E-4
262850.0,6.61673E-4
264310.0,8.4315E-4
266065.0,0.00115575
267430.0,0.00148968
268000.0,0.0018025
268441.0,0.0022348
268572.0,0.00212233
269560.0,0.00197193
270600.0,0.00207515
270940.0,0.00208993
272000.0,0.00201215
274000.0,0.00159218
276300.0,0.00108855
278175.0,8.01995E-4
280000.0,6.20937E-4
281580.0,5.75859E-4
281979.0,7.30675E-4
282033.0,7.9799E-4
282142.0,9.89531E-4
282189.0,0.00101727
283712.0,4.4065E-4
284000.0,4.13706E-4
286000.0,3.31905E-4
288000.0,2.85251E-4
290680.0,2.43809E-4
293845.0,2.12955E-4
297110.0,1.9403E-4
300000.0,1.81452E-4
303810.0,1.77027E-4
305000.0,1.80668E-4
307550.0,2.54898E-4
307590.0,2.63143E-4
307643.0,2.93108E-4
308677.0,0.00102499
308703.0,0.00108824
308721.0,0.0011892
308739.0,0.00136909
308764.0,0.00173487
308918.0,0.0045922
309092.0,0.00794662
309130.0,0.00905802
309171.0,0.0110081
309228.0,0.0140412
309252.0,0.0147152
309260.0,0.0147446
309288.0,0.0140363
309340.0,0.0109942
309401.0,0.00720519
309430.0,0.00580504
309465.0,0.00454432
309499.0,0.00359471
309532.0,0.00294584
309574.0,0.00237927
309631.0,0.00182011
309674.0,0.00151687
309730.0,0.00123535
309775.0,0.00109033
309978.0,6.55778E-4
310032.0,5.76766E-4
310126.0,4.94091E-4
310252.0,4.50731E-4
311010.0,2.45281E-4
311970.0,1.9535E-4
315000.0,1.68625E-4
317230.0,1.65979E-4
325000.0,1.72005E-4
335000.0,1.93945E-4
345000.0,2.30626E-4
354390.0,2.82798E-4
363160.0,3.53454E-4
370960.0,4.40729E-4
376210.0,5.18249E-4
379705.0,5.93545E-4
381570.0,6.74121E-4
382690.0,7.97205E-4
383000.0,8.65247E-4
383680.0,0.00117167
383731.0,0.00122886
383882.0,0.0015879
384439.0,0.00300729
384465.0,0.00315695
384490.0,0.00345897
384521.0,0.00408935
384630.0,0.0072106
385015.0,0.0184044
385072.0,0.0192656
385094.0,0.0192985
385272.0,0.0186256
385338.0,0.0175229
385727.0,0.0051496
385760.0,0.00434021
385785.0,0.00394544
385835.0,0.00350504
385960.0,0.00269043
386026.0,0.0024024
386201.0,0.00189419
386342.0,0.00163387
386570.0,0.00135689
387110.0,0.00104014
387540.0,9.25865E-4
388355.0,8.26345E-4
389010.0,7.91934E-4
391350.0,7.59695E-4
392000.0,7.58201E-4
398960.0,7.71163E-4
406000.0,7.4353E-4
412000.0,7.11107E-4
414850.0,7.34119E-4
416380.0,7.91785E-4
418765.0,9.60105E-4
419300.0,9.87281E-4
420185.0,9.48185E-4
422390.0,7.22253E-4
423565.0,6.42765E-4
425040.0,5.7841E-4
426900.0,5.23698E-4
430680.0,4.58403E-4
436000.0,3.99308E-4
444000.0,3.39715E-4
452000.0,3.02586E-4
458000.0,2.8928E-4
461060.0,2.86697E-4
465590.0,2.93318E-4
470000.0,3.1574E-4
475340.0,3.8242E-4
480000.0,5.7034E-4
481580.0,5.83086E-4
485345.0,7.9579E-4
487995.0,9.43475E-4
489460.0,9.7892E-4
489920.0,9.82944E-4
491470.0,9.49265E-4
493375.0,8.51095E-4
496998.0,6.22167E-4
497780.0,5.89969E-4
497960.0,5.87136E-4
498050.0,5.92075E-4
498706.0,8.60482E-4
498800.0,8.88424E-4
499100.0,7.94259E-4
500000.0,4.82124E-4
501080.0,4.25661E-4
505000.0,3.12854E-4
508162.0,2.58155E-4
511270.0,2.2072E-4
514970.0,1.91065E-4
519200.0,1.66535E-4
523950.0,1.48206E-4
530000.0,1.32961E-4
541970.0,1.18448E-4
550000.0,1.17604E-4
556470.0,1.22977E-4
560000.0,1.29166E-4
564080.0,1.4054E-4
570000.0,1.7026E-4
575000.0,2.18865E-4
579790.0,3.1066E-4
583198.0,4.38355E-4
585000.0,5.44652E-4
587320.0,7.58658E-4
588655.0,9.44661E-4
589231.0,0.00105004
591025.0,0.00144862
592625.0,0.00196525
594930.0,0.00278138
595470.0,0.00284706
596185.0,0.00280209
597395.0,0.00253198
