82-Pb-204(n,elastic) ENDF/B-VII.1
8248.15,0.713169
8251.15,0.71032
8258.34,0.73297
8264.34,0.79139
8270.33,0.89669
8276.32,1.06111
8282.32,1.30187
8288.31,1.64116
8294.3,2.10833
8300.3,2.74275
8305.69,3.50044
8311.09,4.4889
8316.48,5.77852
8321.88,7.46494
8327.27,9.67978
8332.67,12.6065
8338.06,16.5039
8342.85,21.0784
8347.65,27.0741
8352.44,34.9962
8357.24,45.5425
8361.88,59.1509
8366.38,76.5464
8371.32,101.797
8376.33,135.292
8383.46,196.12
8391.16,262.217
8395.38,284.715
8398.84,290.906
8402.19,286.301
8409.26,252.829
8422.33,174.822
8430.06,139.953
8437.56,114.906
8446.55,93.2239
8457.04,75.6498
8467.52,63.3707
8479.51,53.3991
8494.5,44.7083
8512.48,37.5986
8535.25,31.5866
8560.43,27.1519
8596.39,22.9843
8644.34,19.5334
8701.88,16.9659
8778.6,14.8376
8898.47,12.8555
9083.74,11.0828
9089.3,11.0585
9092.86,11.2742
9094.12,12.0667
9095.39,13.998
9096.47,15.6499
9097.01,15.9132
9097.84,15.3099
9099.66,12.3372
9100.66,11.459
9102.28,11.0538
9418.92,8.62367
9494.28,7.62226
9536.67,6.64312
9561.4,5.72871
9579.06,4.76566
9591.78,3.7989
9601.67,2.80914
9609.91,1.79199
9617.92,0.719839
9620.04,0.476796
9621.33,0.356524
9622.27,0.28974
9623.12,0.249681
9623.85,0.234341
9624.03,0.233759
9624.56,0.24057
9625.02,0.257688
9625.59,0.296009
9626.16,0.356145
9626.69,0.434844
9627.31,0.559299
9627.93,0.725279
9628.57,0.952482
9629.28,1.27568
9629.99,1.69522
9630.69,2.2339
9631.4,2.92055
9632.19,3.91582
9632.99,5.21258
9633.78,6.90031
9634.58,9.09766
9635.37,11.9621
9636.17,15.701
9636.96,20.5837
9637.76,26.9488
9638.55,35.1996
9639.43,47.0176
9640.34,62.7344
9641.49,88.065
9644.15,154.734
9645.28,173.194
9646.32,178.936
9647.64,171.266
9649.74,140.091
9652.14,104.248
9654.07,83.3219
9655.92,69.0754
9657.83,58.5427
9660.19,49.3578
9663.13,41.4981
9666.67,35.1793
9671.38,29.6912
9677.26,25.3448
9684.92,21.8191
9694.93,18.9996
9709.06,16.6468
9727.42,14.8748
9755.68,13.3418
9805.14,11.9761
9889.92,10.8731
10050.1,9.9351
10433.3,9.01542
11345.6,7.79321
11360.8,7.93371
11363.3,8.29843
11364.3,8.95692
11365.0,10.0011
11365.6,11.5064
11366.2,13.7538
11367.0,18.2071
11368.1,24.0701
11368.7,26.1077
11369.0,26.311
11369.5,25.5665
11370.3,22.3707
11371.7,14.4682
11372.4,11.9185
11372.9,10.3004
11373.5,9.29739
11374.5,8.50215
11376.0,8.08299
11383.0,7.81031
11987.2,6.58599
12244.8,5.67388
12402.2,4.76733
12502.4,3.92131
12576.8,3.06292
12634.0,2.21497
12682.6,1.34812
12727.7,0.490945
12739.7,0.28903
12747.0,0.181336
12752.4,0.114627
12756.2,0.0753067
12758.8,0.0518311
12761.2,0.0349582
12762.9,0.0246101
12764.4,0.0175403
