82-Pb-204(n,&gamma;) ENDF/B-VII.1
1.0E-5,33.2689
1.30374E-5,29.1369
1.71104E-5,25.4336
2.22778E-5,22.2897
2.92376E-5,19.4567
3.80674E-5,17.0515
4.996E-5,14.8844
6.50481E-5,13.0444
8.53698E-5,11.3865
1.11152E-4,9.97901
1.45877E-4,8.71072
1.89932E-4,7.63398
2.49268E-4,6.66379
3.24548E-4,5.84009
4.2594E-4,5.09789
5.54575E-4,4.46774
7.2783E-4,3.89992
9.47636E-4,3.41785
0.00124369,2.98344
0.00161928,2.61463
0.00212517,2.28228
0.00276697,2.00018
0.0036314,1.74591
0.00472809,1.53003
0.0062052,1.33568
0.00807918,1.1705
0.0106032,1.02203
0.0138054,0.895502
0.0181183,0.781593
0.0244451,0.67317
0.0253,0.66172
0.033204,0.577635
0.0432317,0.505912
0.0567377,0.441528
0.0738726,0.387226
0.0969512,0.337851
0.126231,0.296269
0.165666,0.258426
0.215698,0.226442
0.283085,0.197908
0.368577,0.173269
0.483724,0.151364
0.629809,0.132607
0.845444,0.114393
1.17354,0.0970854
1.57574,0.0838213
2.17164,0.0714564
2.97514,0.0610077
4.07093,0.0522308
5.49915,0.0449094
7.33587,0.0389035
9.90847,0.033503
13.5271,0.0286565
19.1019,0.024149
25.9373,0.0207628
36.769,0.0174672
49.6409,0.0150739
69.0275,0.0128432
95.2045,0.0109927
130.27,0.00948202
174.996,0.00826163
240.824,0.00717027
326.82,0.00634005
398.215,0.00601561
426.72,0.00614182
442.071,0.00652857
450.03,0.00705406
455.358,0.00774768
459.354,0.00867134
462.351,0.00982407
464.973,0.011455
467.013,0.0134781
468.678,0.0160054
470.01,0.0190074
471.113,0.0226001
472.133,0.0273696
473.007,0.0332484
473.735,0.040171
474.36,0.0483876
474.963,0.0594306
475.473,0.0725175
475.942,0.089286
476.358,0.110154
476.712,0.134773
477.045,0.166959
477.336,0.206277
477.602,0.256608
477.836,0.318603
478.044,0.396783
478.218,0.489318
478.372,0.603948
478.497,0.733787
478.618,0.910527
478.718,1.11741
478.801,1.35388
478.882,1.66566
478.955,2.03953
479.028,2.53174
479.112,3.29259
479.192,4.25352
479.284,5.68966
479.387,7.77582
479.521,11.1697
479.754,17.5088
479.887,19.9789
480.0,20.7092
480.093,20.2061
480.196,18.5836
480.366,14.3166
480.566,8.88001
480.676,6.43086
480.77,4.79685
480.857,3.62799
480.932,2.86385
481.007,2.27974
481.089,1.80666
481.163,1.4817
481.257,1.1842
481.353,0.966686
481.457,0.795901
481.582,0.648866
481.715,0.535951
481.89,0.43005
482.065,0.354193
482.289,0.28406
482.552,0.226571
482.831,0.183245
483.164,0.14649
483.538,0.11739
483.954,0.0945672
484.381,0.0777682
484.891,0.0632925
485.432,0.0522625
486.056,0.0430555
486.785,0.0353695
487.576,0.0294248
488.596,0.0240607
489.657,0.02019
490.989,0.0168339
492.654,0.0140425
494.652,0.0118557
496.9,0.0102638
499.897,0.00891353
503.31,0.00796053
507.904,0.0072022
515.626,0.00647824
525.109,0.00604573
544.54,0.00564501
583.188,0.00535156
646.42,0.00518879
753.06,0.00507753
918.0,0.00528782
1042.16,0.00580536
1137.95,0.00660265
1204.68,0.00758596
1246.08,0.0086452
1266.6,0.00953589
1283.2,0.0107851
1293.16,0.0121389
1300.63,0.0139141
1305.61,0.0158812
1309.76,0.0185028
1312.87,0.0215688
1315.47,0.0254401
1317.54,0.0300205
1319.46,0.0362238
1321.09,0.0440555
1322.42,0.0532493
1323.51,0.0639141
1324.54,0.0782054
1325.45,0.0959494
1326.23,0.117294
1326.9,0.143009
1327.54,0.17694
1328.07,0.216631
1328.53,0.263166
1328.95,0.323538
1329.32,0.394103
1329.68,0.492743
1329.99,0.613426
1330.22,0.739713
1330.44,0.898389
1330.64,1.11299
1330.81,1.37056
1330.95,1.66529
1331.08,2.04883
1331.21,2.58071
1331.32,3.21945
1331.44,4.1622
1331.57,5.43788
1331.7,7.20996
1331.83,9.46502
1331.98,12.9606
1332.18,18.612
1332.62,32.5573
1332.82,36.8752
1333.0,38.2931
1333.16,37.2475
1333.34,33.6377
1333.63,24.9488
1333.91,16.0259
1334.08,11.4176
1334.22,8.52664
1334.36,6.40751
1334.47,4.97398
1334.59,3.88106
1334.71,3.03004
1334.82,2.48676
1334.95,1.98197
1335.07,1.61728
1335.23,1.30505
1335.39,1.08288
1335.57,0.891234
1335.81,0.722162
1336.09,0.580585
1336.37,0.477774
1336.73,0.383904
1337.15,0.30824
1337.6,0.249516
1338.12,0.201703
1338.73,0.162032
1339.37,0.132667
1340.16,0.1068
1341.07,0.086142
1342.03,0.0708294
1343.12,0.0585381
1344.44,0.0481414
1346.07,0.0394555
1347.94,0.0328754
1349.81,0.0283789
1352.3,0.0243358
1355.2,0.0212904
1358.63,0.018999
1363.54,0.0170568
1368.03,0.0161308
1374.0,0.0153171
1386.0,0.0148575
1406.0,0.0154438
1430.0,0.0172164
1458.04,0.0203676
1483.0,0.0245234
1502.0,0.0288832
1522.0,0.0353097
1540.0,0.0434377
1556.0,0.0536205
1570.0,0.066206
1582.0,0.0812764
1592.63,0.099779
1602.0,0.122119
1611.0,0.152046
1618.0,0.183768
1625.5,0.230616
1631.5,0.282901
1636.75,0.345147
1642.0,0.430826
1646.5,0.533068
1650.5,0.658315
1654.25,0.819918
1657.38,1.00602
1660.4,1.25469
1663.15,1.57112
1665.5,1.94763
1667.75,2.45127
1669.57,3.02039
1671.38,3.79759
1673.0,4.7834
1674.4,5.97924
1675.6,7.39808
1676.65,9.09243
1677.7,11.4366
1678.6,14.2358
1679.4,17.6605
1680.1,21.743
1680.81,27.4638
1681.43,34.2634
1681.97,42.5489
1682.54,54.0781
1683.04,67.8781
1683.6,88.519
1684.26,120.039
1685.12,164.853
1685.52,180.014
1686.0,187.093
1686.44,181.005
1686.99,159.445
1688.22,96.1569
1688.78,73.9177
1689.28,58.6421
1689.84,45.855
1690.4,36.517
1691.0,29.2205
1691.7,23.0702
1692.4,18.6244
1693.2,14.9235
1694.1,11.9215
1695.14,9.45061
1696.24,7.57937
1697.4,6.14267
1698.8,4.89243
1700.2,3.98956
1701.9,3.18977
1703.65,2.59259
1705.6,2.10491
1708.0,1.67241
1710.7,1.32778
1713.4,1.08007
1716.62,0.866183
1720.0,0.702727
1723.75,0.570186
1728.05,0.45965
1733.1,0.36661
1738.75,0.292555
1744.75,0.236141
1751.0,0.193481
1758.0,0.157928
1766.0,0.128309
1774.0,0.10643
1784.0,0.0863384
1794.0,0.0715126
1806.0,0.058456
1820.0,0.0474829
1836.0,0.0385724
1854.0,0.0314032
1873.99,0.0258279
1898.0,0.0211253
1922.0,0.0178601
1950.0,0.0151992
1982.0,0.0131426
2023.7,0.0114839
2070.5,0.0105443
2105.6,0.0103313
2152.4,0.0106701
2193.35,0.0116609
2228.45,0.013241
2257.7,0.015344
2284.02,0.0182456
2307.43,0.0221121
2324.98,0.0262862
2342.52,0.0322037
2357.15,0.039191
2370.31,0.0480975
2382.01,0.0592026
2392.25,0.0726632
2401.02,0.0887063
2409.8,0.111127
2417.11,0.137441
2423.69,0.170322
2429.54,0.210989
2434.66,0.260276
2439.05,0.317205
2443.44,0.396176
2446.98,0.484192
2450.26,0.594601
2453.27,0.733975
2456.01,0.908196
2458.65,1.14115
2460.95,1.42715
2463.0,1.78193
2464.79,2.21216
2466.44,2.75852
2467.88,3.42223
2469.2,4.25563
2470.35,5.25487
2471.5,6.63731
2472.5,8.31896
2473.38,10.3298
2474.24,13.0224
2475.06,16.5715
2475.8,20.8367
2476.62,27.262
2477.51,36.3996
2478.95,52.311
2479.53,56.3805
