82-Pb-206(n,2n) ENDF/B-VII.1
8127800.0,0.0
8500000.0,0.0834296
9000000.0,0.363711
9500000.0,0.712125
1.0E7,1.07592
1.05E7,1.39759
1.1E7,1.64991
1.15E7,1.83992
1.2E7,1.96943
1.25E7,2.05989
1.3E7,2.12295
1.35E7,2.16654
1.4E7,2.19711
1.45E7,2.2183
1.5E7,2.23167
1.6E7,2.23362
1.7E7,2.16301
1.8E7,1.96394
1.9E7,1.62881
2.0E7,1.24881
2.0E7,0.0
2.0E8,0.0
