82-Pb-204(n,2n) ENDF/B-VII.1
8435810.0,0.0
8500000.0,0.00213276
9000000.0,0.135371
9500000.0,0.399638
1.0E7,0.748553
1.05E7,1.10372
1.1E7,1.41446
1.15E7,1.66167
1.2E7,1.85061
1.25E7,1.98469
1.3E7,2.07774
1.35E7,2.14252
1.4E7,2.18741
1.45E7,2.21876
1.5E7,2.23892
1.6E7,2.25576
1.7E7,2.22751
1.8E7,2.1258
1.9E7,1.88324
2.0E7,1.52276
2.0E7,0.0
2.0E8,0.0
