energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,3.14541600E+04
1.26000000E-05,2.84524652E+04
1.50000000E-05,2.56816700E+04
1.89000000E-05,2.29975574E+04
2.00000000E-05,2.22405000E+04
2.52000000E-05,1.99702840E+04
2.75000000E-05,1.89661500E+04
3.46500000E-05,1.69117262E+04
3.50000000E-05,1.68111600E+04
4.41000000E-05,1.51447437E+04
5.00000000E-05,1.40643200E+04
6.30000000E-05,1.27216384E+04
7.50000000E-05,1.14822400E+04
9.45000000E-05,1.02815158E+04
1.00000000E-04,9.94285000E+03
1.26000000E-04,8.99318336E+03
1.50000000E-04,8.11656800E+03
1.89000000E-04,7.26721274E+03
2.00000000E-04,7.02765100E+03
2.52000000E-04,6.30910044E+03
2.75000000E-04,5.99128000E+03
3.46500000E-04,5.34083878E+03
3.50000000E-04,5.30899900E+03
4.41000000E-04,4.78118747E+03
5.00000000E-04,4.43898000E+03
6.30000000E-04,4.01339172E+03
7.50000000E-04,3.62054100E+03
9.45000000E-04,3.23958354E+03
1.00000000E-03,3.13213400E+03
1.26000000E-03,2.83042792E+03
1.50000000E-03,2.55193000E+03
1.89000000E-03,2.28159526E+03
2.00000000E-03,2.20534700E+03
2.52000000E-03,1.97616012E+03
2.75000000E-03,1.87478900E+03
3.46500000E-03,1.66682505E+03
3.50000000E-03,1.65664500E+03
4.41000000E-03,1.48740805E+03
5.00000000E-03,1.37768300E+03
6.30000000E-03,1.22394860E+03
6.44540000E-03,1.20675400E+03
7.89080000E-03,1.08511300E+03
9.94240800E-03,9.61109774E+02
1.00000000E-02,9.57628800E+02
1.26000000E-02,8.61651204E+02
1.50000000E-02,7.73056500E+02
1.89000000E-02,6.88216368E+02
2.00000000E-02,6.64287100E+02
2.51440000E-02,5.88144300E+02
2.53000000E-02,5.86194500E+02
2.56859400E-02,5.81443800E+02
2.60718800E-02,5.76794300E+02
2.68437500E-02,5.67783800E+02
2.83875000E-02,5.50822400E+02
3.14750000E-02,5.20516200E+02
3.76500000E-02,4.70838700E+02
4.74390000E-02,4.14024137E+02
5.00000000E-02,3.99160300E+02
6.25000000E-02,3.48503400E+02
7.50000000E-02,3.10769100E+02
9.45000000E-02,2.69605380E+02
1.00000000E-01,2.57995100E+02
1.21985000E-01,2.26758400E+02
1.43970000E-01,2.04660300E+02
1.81402200E-01,1.84262688E+02
