energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,5.45646500E+03
1.26000000E-05,4.93581916E+03
1.50000000E-05,4.45522300E+03
1.89000000E-05,3.98967766E+03
2.00000000E-05,3.85837000E+03
2.52000000E-05,3.46462739E+03
2.75000000E-05,3.29047200E+03
3.46500000E-05,2.93417034E+03
3.50000000E-05,2.91672900E+03
4.41000000E-05,2.62774030E+03
5.00000000E-05,2.44037400E+03
6.30000000E-05,2.20755388E+03
7.50000000E-05,1.99264300E+03
9.45000000E-05,1.78446958E+03
1.00000000E-04,1.72575400E+03
1.26000000E-04,1.56114280E+03
1.50000000E-04,1.40919400E+03
1.89000000E-04,1.26201424E+03
2.00000000E-04,1.22050200E+03
2.52000000E-04,1.09603411E+03
2.75000000E-04,1.04098100E+03
3.46500000E-04,9.28360397E+02
3.50000000E-04,9.22847500E+02
4.41000000E-04,8.31517049E+02
5.00000000E-04,7.72302800E+02
6.30000000E-04,6.98741780E+02
7.50000000E-04,6.30839300E+02
9.45000000E-04,5.65083974E+02
1.00000000E-03,5.46537600E+02
1.26000000E-03,4.94557464E+02
1.50000000E-03,4.46575800E+02
1.89000000E-03,4.00109484E+02
2.00000000E-03,3.87003600E+02
2.52000000E-03,3.47698949E+02
2.75000000E-03,3.30314200E+02
3.46500000E-03,2.94712920E+02
3.50000000E-03,2.92970200E+02
4.41000000E-03,2.63995133E+02
5.00000000E-03,2.45209100E+02
6.30000000E-03,2.18738981E+02
6.44540000E-03,2.15778400E+02
7.89080000E-03,1.94569900E+02
9.94240800E-03,1.72432143E+02
1.00000000E-02,1.71810700E+02
1.26000000E-02,1.53676064E+02
1.50000000E-02,1.36936400E+02
1.89000000E-02,1.19907518E+02
2.00000000E-02,1.15104500E+02
2.51440000E-02,9.98018700E+01
2.53000000E-02,9.94163800E+01
2.56859400E-02,9.84791600E+01
2.60718800E-02,9.75647200E+01
2.68437500E-02,9.58010500E+01
2.83875000E-02,9.25140200E+01
3.14750000E-02,8.67612100E+01
3.76500000E-02,7.77041900E+01
4.74390000E-02,6.80084431E+01
5.00000000E-02,6.54718400E+01
6.25000000E-02,5.73785900E+01
7.50000000E-02,5.16345000E+01
9.45000000E-02,4.57558974E+01
1.00000000E-01,4.40978300E+01
1.21985000E-01,4.01017900E+01
1.43970000E-01,3.77672100E+01
1.81402200E-01,3.72908157E+01
