energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,9.22359900E+00
1.00781300E-05,9.22359900E+00
1.01562500E-05,9.22359900E+00
1.02343800E-05,9.22359900E+00
1.03125000E-05,9.22359900E+00
1.03906300E-05,9.22359900E+00
1.04687500E-05,9.22359900E+00
1.05468800E-05,9.22359900E+00
1.06250000E-05,9.22359900E+00
1.07031300E-05,9.22359900E+00
1.07812500E-05,9.22359900E+00
1.09375000E-05,9.22359900E+00
1.10937500E-05,9.22359900E+00
1.12500000E-05,9.22359900E+00
1.14062500E-05,9.22359900E+00
1.15625000E-05,9.22359900E+00
1.17187500E-05,9.22359900E+00
1.18750000E-05,9.22359900E+00
1.20312500E-05,9.22359900E+00
1.21875000E-05,9.22359900E+00
1.23437500E-05,9.22359900E+00
1.25000000E-05,9.22359900E+00
1.26562500E-05,9.22359900E+00
1.28125000E-05,9.22359900E+00
1.29687500E-05,9.22359800E+00
1.31250000E-05,9.22359800E+00
1.32812500E-05,9.22359800E+00
1.34375000E-05,9.22359800E+00
1.35937500E-05,9.22359800E+00
1.37500000E-05,9.22359800E+00
1.39062500E-05,9.22359800E+00
1.40625000E-05,9.22359800E+00
1.42187500E-05,9.22359800E+00
1.43750000E-05,9.22359800E+00
1.45312500E-05,9.22359800E+00
1.46875000E-05,9.22359800E+00
1.48437500E-05,9.22359800E+00
1.50000000E-05,9.22359800E+00
1.51562500E-05,9.22359800E+00
1.53125000E-05,9.22359800E+00
1.54687500E-05,9.22359800E+00
1.56250000E-05,9.22359800E+00
1.57812500E-05,9.22359800E+00
1.59375000E-05,9.22359800E+00
1.60937500E-05,9.22359800E+00
1.62500000E-05,9.22359800E+00
1.64062500E-05,9.22359800E+00
1.65625000E-05,9.22359800E+00
1.67187500E-05,9.22359800E+00
1.68750000E-05,9.22359800E+00
1.70312500E-05,9.22359800E+00
1.71875000E-05,9.22359800E+00
1.73437500E-05,9.22359800E+00
1.75000000E-05,9.22359800E+00
1.76562500E-05,9.22359800E+00
1.78125000E-05,9.22359800E+00
1.79687500E-05,9.22359800E+00
1.81250000E-05,9.22359800E+00
1.82812500E-05,9.22359800E+00
1.84375000E-05,9.22359800E+00
1.85937500E-05,9.22359800E+00
1.87500000E-05,9.22359800E+00
1.89062500E-05,9.22359800E+00
1.90625000E-05,9.22359800E+00
1.92187500E-05,9.22359800E+00
