energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,1.41689100E+01
1.26000000E-05,1.41688996E+01
1.50000000E-05,1.41688900E+01
1.89000000E-05,1.41688744E+01
2.00000000E-05,1.41688700E+01
2.52000000E-05,1.41688492E+01
2.75000000E-05,1.41688400E+01
3.46500000E-05,1.41688114E+01
3.50000000E-05,1.41688100E+01
4.41000000E-05,1.41687736E+01
5.00000000E-05,1.41687500E+01
6.30000000E-05,1.41687032E+01
7.50000000E-05,1.41686600E+01
9.45000000E-05,1.41685820E+01
1.00000000E-04,1.41685600E+01
1.26000000E-04,1.41684612E+01
1.50000000E-04,1.41683700E+01
1.89000000E-04,1.41682218E+01
2.00000000E-04,1.41681800E+01
2.52000000E-04,1.41679789E+01
2.75000000E-04,1.41678900E+01
3.46500000E-04,1.41676135E+01
3.50000000E-04,1.41676000E+01
4.41000000E-04,1.41672542E+01
5.00000000E-04,1.41670300E+01
6.30000000E-04,1.41665360E+01
7.50000000E-04,1.41660800E+01
9.45000000E-04,1.41653312E+01
1.00000000E-03,1.41651200E+01
1.26000000E-03,1.41641216E+01
1.50000000E-03,1.41632000E+01
1.89000000E-03,1.41617024E+01
2.00000000E-03,1.41612800E+01
2.52000000E-03,1.41592624E+01
2.75000000E-03,1.41583700E+01
3.46500000E-03,1.41555767E+01
3.50000000E-03,1.41554400E+01
4.41000000E-03,1.41518485E+01
5.00000000E-03,1.41495200E+01
6.30000000E-03,1.41443035E+01
6.44540000E-03,1.41437200E+01
7.89080000E-03,1.41378400E+01
9.94240800E-03,1.41294067E+01
1.00000000E-02,1.41291700E+01
1.26000000E-02,1.41184840E+01
1.50000000E-02,1.41086200E+01
1.89000000E-02,1.40931136E+01
2.00000000E-02,1.40887400E+01
2.51440000E-02,1.40692300E+01
2.53000000E-02,1.40686500E+01
2.56859400E-02,1.40672200E+01
2.60718800E-02,1.40658000E+01
2.68437500E-02,1.40629600E+01
2.83875000E-02,1.40573300E+01
3.14750000E-02,1.40462100E+01
3.76500000E-02,1.40244200E+01
4.74390000E-02,1.39908203E+01
5.00000000E-02,1.39820300E+01
6.25000000E-02,1.39401800E+01
7.50000000E-02,1.38991400E+01
9.45000000E-02,1.38365840E+01
1.00000000E-01,1.38189400E+01
1.21985000E-01,1.37499900E+01
1.43970000E-01,1.36821200E+01
1.81402200E-01,1.35700618E+01
