energy_eV,xs_barns
1.59765700E-05,7.34643200E-04
1.60156300E-05,7.33746800E-04
1.60546900E-05,7.32853700E-04
1.60937500E-05,7.31963800E-04
1.61328200E-05,7.31077000E-04
1.61718800E-05,7.30193500E-04
1.62109400E-05,7.29313300E-04
1.62500000E-05,7.28436300E-04
1.62890700E-05,7.27562200E-04
1.63281300E-05,7.26691400E-04
1.63671900E-05,7.25823800E-04
1.64062500E-05,7.24959200E-04
1.64453200E-05,7.24097600E-04
1.64843800E-05,7.23239200E-04
1.65234400E-05,7.22383800E-04
1.65625000E-05,7.21531500E-04
1.66015700E-05,7.20682000E-04
1.66406300E-05,7.19835700E-04
1.66796900E-05,7.18992400E-04
1.67187500E-05,7.18152000E-04
1.67578200E-05,7.17314300E-04
1.67968800E-05,7.16479800E-04
1.68359400E-05,7.15648200E-04
1.68750000E-05,7.14819500E-04
1.69140700E-05,7.13993400E-04
1.69531300E-05,7.13170400E-04
1.70312500E-05,7.11532900E-04
1.71093800E-05,7.09906500E-04
1.71875000E-05,7.08291300E-04
1.72656300E-05,7.06686900E-04
1.73046900E-05,7.05888900E-04
1.73437500E-05,7.05093600E-04
1.74218800E-05,7.03510800E-04
1.75000000E-05,7.01938800E-04
1.75781300E-05,7.00377100E-04
1.76562500E-05,6.98826000E-04
1.77343800E-05,6.97285000E-04
1.78125000E-05,6.95754200E-04
1.78906300E-05,6.94233400E-04
1.79687500E-05,6.92722600E-04
1.80468800E-05,6.91221500E-04
1.81250000E-05,6.89730300E-04
1.82031300E-05,6.88248500E-04
1.82812500E-05,6.86776400E-04
1.83593800E-05,6.85313500E-04
1.84375000E-05,6.83860200E-04
1.84765700E-05,6.83136800E-04
1.85156300E-05,6.82415800E-04
1.85937500E-05,6.80980800E-04
1.86718800E-05,6.79554500E-04
1.87500000E-05,6.78137400E-04
1.88281300E-05,6.76728900E-04
1.89062500E-05,6.75329400E-04
1.89843800E-05,6.73938300E-04
1.90625000E-05,6.72555900E-04
1.91406300E-05,6.71181900E-04
1.92187500E-05,6.69816400E-04
1.92968800E-05,6.68459100E-04
1.93750000E-05,6.67110100E-04
1.94531300E-05,6.65769100E-04
1.95312500E-05,6.64436300E-04
1.96093800E-05,6.63111300E-04
1.96875000E-05,6.61794400E-04
1.97656300E-05,6.60485100E-04
1.98437500E-05,6.59183800E-04
1.99218800E-05,6.57889900E-04
2.00000000E-05,6.56603800E-04
