energy_eV,xs_barns
2.17578200E-05,8.00673700E-03
2.18750000E-05,7.98526300E-03
2.19921900E-05,7.96395900E-03
2.21093800E-05,7.94282400E-03
2.22265700E-05,7.92185700E-03
2.23437500E-05,7.90105700E-03
2.24609400E-05,7.88041800E-03
2.25781300E-05,7.85994000E-03
2.26953200E-05,7.83962100E-03
2.28125000E-05,7.81946100E-03
2.29296900E-05,7.79945300E-03
2.30468800E-05,7.77959800E-03
2.31640700E-05,7.75989400E-03
2.32812500E-05,7.74034100E-03
2.33984400E-05,7.72093300E-03
2.35156300E-05,7.70167000E-03
2.36328200E-05,7.68255100E-03
2.37500000E-05,7.66357500E-03
2.38671900E-05,7.64473800E-03
2.39843800E-05,7.62603800E-03
2.41015700E-05,7.60747600E-03
2.42187500E-05,7.58904900E-03
2.43359400E-05,7.57075500E-03
2.44531300E-05,7.55259200E-03
2.45703200E-05,7.53455900E-03
2.46875000E-05,7.51665600E-03
2.48046900E-05,7.49887900E-03
2.49218800E-05,7.48122700E-03
2.50390700E-05,7.46369900E-03
2.51562500E-05,7.44629600E-03
2.52734400E-05,7.42901200E-03
2.53906300E-05,7.41184800E-03
2.55078200E-05,7.39480200E-03
2.56250000E-05,7.37787500E-03
2.57421900E-05,7.36106200E-03
2.58593800E-05,7.34436400E-03
2.59765700E-05,7.32777900E-03
2.60937500E-05,7.31130700E-03
2.62109400E-05,7.29494400E-03
2.63281300E-05,7.27869000E-03
2.64453200E-05,7.26254500E-03
2.65625000E-05,7.24650800E-03
2.66796900E-05,7.23057500E-03
2.67968800E-05,7.21474700E-03
2.69140700E-05,7.19902300E-03
2.70312500E-05,7.18340200E-03
2.71484400E-05,7.16788100E-03
2.72656300E-05,7.15246100E-03
2.73828200E-05,7.13713900E-03
2.75000000E-05,7.12191700E-03
2.76171900E-05,7.10679000E-03
2.77343800E-05,7.09176000E-03
2.78515700E-05,7.07682400E-03
2.79687500E-05,7.06198400E-03
2.80859400E-05,7.04723500E-03
2.82031300E-05,7.03257900E-03
2.83203200E-05,7.01801300E-03
2.84375000E-05,7.00353900E-03
2.85546900E-05,6.98915300E-03
2.86718800E-05,6.97485500E-03
2.87890700E-05,6.96064400E-03
2.89062500E-05,6.94652100E-03
2.90234400E-05,6.93248300E-03
2.91406300E-05,6.91852900E-03
2.92578200E-05,6.90466000E-03
2.93750000E-05,6.89087400E-03
2.94921900E-05,6.87717000E-03
2.96093800E-05,6.86354700E-03
2.97265700E-05,6.85000400E-03
2.98437500E-05,6.83654300E-03
2.99609400E-05,6.82316000E-03
3.00781300E-05,6.80985500E-03
3.01953200E-05,6.79662700E-03
3.03125000E-05,6.78347700E-03
3.04296900E-05,6.77040200E-03
3.05468800E-05,6.75740300E-03
3.06640700E-05,6.74447800E-03
3.07812500E-05,6.73162800E-03
3.08984400E-05,6.71885000E-03
3.10156300E-05,6.70614500E-03
3.11328200E-05,6.69351200E-03
3.12500000E-05,6.68095000E-03
3.13671900E-05,6.66845800E-03
3.14843800E-05,6.65603600E-03
3.16015700E-05,6.64368300E-03
3.17187500E-05,6.63140000E-03
3.18359400E-05,6.61918300E-03
3.19531300E-05,6.60703400E-03
3.20703200E-05,6.59495200E-03
3.21875000E-05,6.58293600E-03
3.23046900E-05,6.57098500E-03
3.24218800E-05,6.55909900E-03
3.26562500E-05,6.53551900E-03
3.28906300E-05,6.51219100E-03
3.31250000E-05,6.48911300E-03
3.33593800E-05,6.46627600E-03
3.35937500E-05,6.44368100E-03
3.38281300E-05,6.42131900E-03
3.40625000E-05,6.39919000E-03
3.42968800E-05,6.37728700E-03
3.45312500E-05,6.35560800E-03
3.47656300E-05,6.33414800E-03
3.50000000E-05,6.31290500E-03
3.52343800E-05,6.29187300E-03
3.54687500E-05,6.27105100E-03
3.57031300E-05,6.25043300E-03
3.59375000E-05,6.23001800E-03
3.61718800E-05,6.20980200E-03
3.64062500E-05,6.18978100E-03
3.66406300E-05,6.16995200E-03
3.68750000E-05,6.15031300E-03
3.71093800E-05,6.13086000E-03
3.73437500E-05,6.11159100E-03
3.75781300E-05,6.09250200E-03
3.78125000E-05,6.07359100E-03
3.80468800E-05,6.05485500E-03
3.82812500E-05,6.03629200E-03
3.85156300E-05,6.01789700E-03
3.87500000E-05,5.99967100E-03
3.89843800E-05,5.98160800E-03
3.92187500E-05,5.96370800E-03
3.94531300E-05,5.94596800E-03
3.96875000E-05,5.92838500E-03
3.99218800E-05,5.91095700E-03
4.01562500E-05,5.89368200E-03
4.03906300E-05,5.87655700E-03
4.06250000E-05,5.85958100E-03
4.08593800E-05,5.84275100E-03
4.10937500E-05,5.82606600E-03
4.13281300E-05,5.80952200E-03
4.15625000E-05,5.79311900E-03
4.17968800E-05,5.77685300E-03
4.20312500E-05,5.76072500E-03
4.22656300E-05,5.74473000E-03
4.25000000E-05,5.72886800E-03
4.27343800E-05,5.71313600E-03
4.29687500E-05,5.69753400E-03
4.32031300E-05,5.68205800E-03
4.34375000E-05,5.66670800E-03
4.36718800E-05,5.65148200E-03
4.39062500E-05,5.63637800E-03
4.41406300E-05,5.62139400E-03
4.43750000E-05,5.60652900E-03
4.46093800E-05,5.59178100E-03
4.48437500E-05,5.57715000E-03
4.50781300E-05,5.56263200E-03
4.53125000E-05,5.54822800E-03
4.55468800E-05,5.53393400E-03
4.57812500E-05,5.51975100E-03
4.60156300E-05,5.50567500E-03
4.62500000E-05,5.49170800E-03
4.64843800E-05,5.47784500E-03
4.67187500E-05,5.46408800E-03
4.69531300E-05,5.45043300E-03
4.71875000E-05,5.43688100E-03
4.74218800E-05,5.42342800E-03
4.76562500E-05,5.41007600E-03
4.78906300E-05,5.39682100E-03
4.81250000E-05,5.38366400E-03
4.83593800E-05,5.37060100E-03
4.85937500E-05,5.35763400E-03
4.88281300E-05,5.34476000E-03
4.90625000E-05,5.33197900E-03
4.92968800E-05,5.31928900E-03
4.95312500E-05,5.30668900E-03
4.97656300E-05,5.29417800E-03
5.00000000E-05,5.28175500E-03
5.01953200E-05,5.27146900E-03
5.03906300E-05,5.26124300E-03
5.05859400E-05,5.25107700E-03
5.07812500E-05,5.24096900E-03
5.09765700E-05,5.23091900E-03
5.11718800E-05,5.22092700E-03
5.13671900E-05,5.21099200E-03
5.15625000E-05,5.20111300E-03
5.17578200E-05,5.19129000E-03
5.19531300E-05,5.18152300E-03
5.21484400E-05,5.17181100E-03
5.23437500E-05,5.16215300E-03
5.25390700E-05,5.15254900E-03
5.27343800E-05,5.14299800E-03
5.29296900E-05,5.13350100E-03
5.31250000E-05,5.12405500E-03
5.33203200E-05,5.11466200E-03
5.35156300E-05,5.10532000E-03
5.37109400E-05,5.09602900E-03
5.39062500E-05,5.08678900E-03
5.42968800E-05,5.06845800E-03
5.46875000E-05,5.05032400E-03
5.50781300E-05,5.03238300E-03
5.54687500E-05,5.01463300E-03
5.58593800E-05,4.99706800E-03
5.62500000E-05,4.97968700E-03
5.66406300E-05,4.96248600E-03
5.70312500E-05,4.94546200E-03
5.74218800E-05,4.92861200E-03
5.78125000E-05,4.91193300E-03
5.82031300E-05,4.89542200E-03
5.85937500E-05,4.87907700E-03
5.89843800E-05,4.86289400E-03
5.93750000E-05,4.84687100E-03
5.97656300E-05,4.83100600E-03
6.01562500E-05,4.81529500E-03
6.05468800E-05,4.79973700E-03
6.09375000E-05,4.78432900E-03
6.13281300E-05,4.76906700E-03
6.17187500E-05,4.75395200E-03
6.21093800E-05,4.73897800E-03
6.25000000E-05,4.72414600E-03
6.28906300E-05,4.70945200E-03
6.32812500E-05,4.69489400E-03
6.36718800E-05,4.68047000E-03
6.40625000E-05,4.66617900E-03
6.44531300E-05,4.65201700E-03
6.48437500E-05,4.63798400E-03
6.52343800E-05,4.62407700E-03
6.56250000E-05,4.61029400E-03
6.60156300E-05,4.59663400E-03
6.64062500E-05,4.58309500E-03
6.67968800E-05,4.56967400E-03
6.71875000E-05,4.55637100E-03
6.75781300E-05,4.54318300E-03
6.79687500E-05,4.53010900E-03
6.83593800E-05,4.51714800E-03
6.87500000E-05,4.50429700E-03
6.91406300E-05,4.49155400E-03
6.95312500E-05,4.47892000E-03
6.99218800E-05,4.46639200E-03
7.03125000E-05,4.45396800E-03
7.07031300E-05,4.44164700E-03
7.10937500E-05,4.42942800E-03
7.14843800E-05,4.41730900E-03
7.18750000E-05,4.40528900E-03
7.22656300E-05,4.39336700E-03
7.26562500E-05,4.38154100E-03
7.30468800E-05,4.36981000E-03
7.34375000E-05,4.35817200E-03
7.38281300E-05,4.34662700E-03
7.42187500E-05,4.33517400E-03
7.46093800E-05,4.32381000E-03
7.50000000E-05,4.31253600E-03
7.53906300E-05,4.30134900E-03
7.57812500E-05,4.29024900E-03
7.61718800E-05,4.27923400E-03
7.65625000E-05,4.26830400E-03
7.69531300E-05,4.25745600E-03
7.73437500E-05,4.24669200E-03
7.77343800E-05,4.23600800E-03
7.81250000E-05,4.22540500E-03
7.85156300E-05,4.21488100E-03
7.89062500E-05,4.20443500E-03
7.92968800E-05,4.19406600E-03
7.96875000E-05,4.18377400E-03
8.00781300E-05,4.17355800E-03
8.04687500E-05,4.16341500E-03
8.08593800E-05,4.15334600E-03
8.12500000E-05,4.14335100E-03
8.16406300E-05,4.13342600E-03
8.20312500E-05,4.12357300E-03
8.24218800E-05,4.11379000E-03
8.28125000E-05,4.10407600E-03
8.32031300E-05,4.09443100E-03
8.35937500E-05,4.08485300E-03
8.39843800E-05,4.07534300E-03
8.43750000E-05,4.06589800E-03
8.47656300E-05,4.05651900E-03
8.51562500E-05,4.04720400E-03
8.55468800E-05,4.03795300E-03
8.59375000E-05,4.02876600E-03
8.63281300E-05,4.01964100E-03
8.67187500E-05,4.01057700E-03
8.71093800E-05,4.00157500E-03
8.75000000E-05,3.99263300E-03
8.78906300E-05,3.98375000E-03
8.82812500E-05,3.97492700E-03
8.86718800E-05,3.96616200E-03
8.90625000E-05,3.95745500E-03
8.94531300E-05,3.94880400E-03
8.98437500E-05,3.94021100E-03
9.02343800E-05,3.93167300E-03
9.06250000E-05,3.92319000E-03
9.10156300E-05,3.91476200E-03
9.14062500E-05,3.90638900E-03
9.17968800E-05,3.89806800E-03
9.21875000E-05,3.88980100E-03
9.25781300E-05,3.88158600E-03
9.29687500E-05,3.87342300E-03
9.33593800E-05,3.86531100E-03
9.37500000E-05,3.85725000E-03
9.41406300E-05,3.84923900E-03
9.45312500E-05,3.84127800E-03
9.49218800E-05,3.83336600E-03
9.53125000E-05,3.82550200E-03
9.57031300E-05,3.81768700E-03
9.60937500E-05,3.80992000E-03
9.64843800E-05,3.80220000E-03
9.68750000E-05,3.79452600E-03
9.72656300E-05,3.78689900E-03
9.76562500E-05,3.77931800E-03
9.80468800E-05,3.77178200E-03
9.84375000E-05,3.76429000E-03
9.88281300E-05,3.75684400E-03
9.92187500E-05,3.74944100E-03
9.96093800E-05,3.74208200E-03
1.00000000E-04,3.73476600E-03
