energy_eV,xs_barns
1.0000E-05,2.0000E+07
1.0000E-10,1.0000E+10
1.00000000E-05,1.34539500E+02
1.00390700E-05,1.34277400E+02
1.00781300E-05,1.34017000E+02
1.01171900E-05,1.33758000E+02
1.01562500E-05,1.33500600E+02
1.01953200E-05,1.33244500E+02
1.02343800E-05,1.32990000E+02
1.02734400E-05,1.32736900E+02
1.03125000E-05,1.32485300E+02
1.03515700E-05,1.32235100E+02
1.03906300E-05,1.31986300E+02
1.04296900E-05,1.31739000E+02
1.04687500E-05,1.31493000E+02
1.05078200E-05,1.31248300E+02
1.05468800E-05,1.31005000E+02
1.05859400E-05,1.30763100E+02
1.06250000E-05,1.30522500E+02
1.06640700E-05,1.30283200E+02
1.07031300E-05,1.30045200E+02
1.07421900E-05,1.29808600E+02
1.07812500E-05,1.29573300E+02
1.08203200E-05,1.29339100E+02
1.08593800E-05,1.29106300E+02
1.08984400E-05,1.28874700E+02
1.09375000E-05,1.28644400E+02
1.09765700E-05,1.28415200E+02
1.10156300E-05,1.28187400E+02
1.10546900E-05,1.27960700E+02
1.10937500E-05,1.27735200E+02
1.11328200E-05,1.27510900E+02
1.11718800E-05,1.27287800E+02
1.12109400E-05,1.27065900E+02
1.12500000E-05,1.26845100E+02
1.12890700E-05,1.26625400E+02
1.13281300E-05,1.26407000E+02
1.13671900E-05,1.26189600E+02
1.14062500E-05,1.25973300E+02
1.14453200E-05,1.25758100E+02
1.14843800E-05,1.25544100E+02
1.15234400E-05,1.25331100E+02
1.15625000E-05,1.25119300E+02
1.16015700E-05,1.24908400E+02
1.16406300E-05,1.24698600E+02
1.16796900E-05,1.24489900E+02
1.17187500E-05,1.24282300E+02
1.17578200E-05,1.24075700E+02
1.17968800E-05,1.23870100E+02
1.18359400E-05,1.23665500E+02
1.18750000E-05,1.23461900E+02
1.19140700E-05,1.23259400E+02
1.19531300E-05,1.23057800E+02
1.19921900E-05,1.22857200E+02
1.20312500E-05,1.22657600E+02
1.20703200E-05,1.22459000E+02
1.21093800E-05,1.22261300E+02
1.21484400E-05,1.22064600E+02
1.21875000E-05,1.21868800E+02
1.22265700E-05,1.21674000E+02
1.22656300E-05,1.21480100E+02
1.23046900E-05,1.21287100E+02
1.23437500E-05,1.21095100E+02
1.23828200E-05,1.20903900E+02
1.24218800E-05,1.20713700E+02
1.24609400E-05,1.20524300E+02
1.25000000E-05,1.20335800E+02
