82-Pb-207(n,&gamma;) ENDF/B-VII.1
1.0E-5,35.8436
1.31241E-5,31.288
1.70876E-5,27.4201
2.2426E-5,23.9352
2.91987E-5,20.9764
3.83206E-5,18.3102
4.98935E-5,16.0468
6.54808E-5,14.0073
8.52562E-5,12.276
1.11891E-4,10.7157
1.45682E-4,9.39101
1.91195E-4,8.19766
2.48937E-4,7.18435
3.26707E-4,6.27104
4.25373E-4,5.49588
5.58264E-4,4.79729
7.26861E-4,4.2045
9.53941E-4,3.6701
0.00124203,3.21629
0.00163006,2.80754
0.00212234,2.46051
0.00278538,2.14782
0.00362657,1.88281
0.00475955,1.64628
0.00619694,1.4429
0.00813293,1.25951
0.0105891,1.10516
0.0138972,0.963724
0.0180942,0.84438
0.0234661,0.742566
0.0253,0.714392
0.033204,0.622623
0.0474582,0.521314
0.0617907,0.45642
0.0883169,0.382172
0.115908,0.333254
0.150913,0.291921
0.198059,0.254896
0.257874,0.223454
0.368577,0.186802
0.483724,0.163194
0.691383,0.136527
0.8807,0.120761
1.15461,0.106039
1.39394,0.0959938
1.82942,0.0839128
2.38191,0.0739147
2.76258,0.0681696
3.62564,0.0596048
4.72059,0.0525062
5.49986,0.0483031
7.54,0.0413593
9.81709,0.0364045
12.0473,0.0327634
15.0522,0.0292706
19.598,0.025764
24.0669,0.023178
30.0767,0.020704
39.1599,0.018223
48.106,0.0163901
60.1256,0.0146389
78.2836,0.0128836
96.1843,0.0115856
120.223,0.0103462
156.531,0.00910398
192.341,0.00818495
240.419,0.00730743
313.026,0.00642788
350.397,0.0060279
437.99,0.00538681
523.63,0.00492362
700.769,0.00424794
875.955,0.00379323
1051.14,0.00345724
1401.51,0.00298504
1751.88,0.00266266
2277.44,0.00233607
2627.81,0.00219792
2803.0,0.00214953
2894.0,0.00220737
2943.4,0.00234229
2969.4,0.00253104
2985.57,0.00276717
2998.0,0.00307033
3007.63,0.00346982
3014.56,0.0039225
3021.4,0.00460042
3027.25,0.00552581
3031.54,0.00654649
3035.44,0.00793005
3038.62,0.00959196
3041.35,0.011672
3043.65,0.0140886
3045.81,0.0173489
3047.66,0.0213191
3049.35,0.0264691
3050.83,0.0328755
3052.01,0.0400553
3053.15,0.0496003
3054.21,0.0621046
3055.12,0.0773751
3055.85,0.0944111
3056.53,0.116271
3057.18,0.145456
3057.75,0.181695
3058.24,0.225693
3058.66,0.279868
3059.0,0.34231
3059.28,0.414635
3059.52,0.507624
3059.72,0.616215
3059.89,0.752165
3060.05,0.936506
3060.19,1.1622
3060.33,1.47277
3060.48,1.89935
3060.6,2.38659
3060.74,3.13756
3060.87,4.03845
3061.02,5.35127
3061.16,7.03876
3061.34,9.6304
3061.52,13.0238
3061.76,18.4951
3062.44,36.8914
3062.73,42.2842
3062.99,44.1302
3063.0,44.1351
3063.25,42.609
3063.52,37.7815
3063.95,26.3244
3064.3,17.0415
3064.53,11.9157
3064.71,8.76978
3064.88,6.55064
3065.02,4.96915
3065.16,3.794
3065.29,2.94853
3065.42,2.29853
3065.55,1.80504
3065.68,1.43386
3065.82,1.13413
3065.97,0.916255
3066.13,0.738084
3066.3,0.606406
3066.49,0.500886
3066.74,0.410148
3067.03,0.335783
3067.4,0.271754
3067.83,0.218394
3068.28,0.179552
3068.85,0.143995
3069.5,0.115286
3070.18,0.0937376
3070.96,0.0759642
3071.79,0.0622663
3072.81,0.0500667
3073.89,0.0408817
3075.19,0.0329029
3076.52,0.027046
3078.08,0.0220844
3079.9,0.0179636
3081.9,0.0147481
3084.21,0.0121123
3086.67,0.0101329
3089.97,0.00826211
3093.45,0.0069013
3096.84,0.00596073
3101.37,0.00507688
3107.4,0.0042942
3114.93,0.00367083
3122.47,0.00326754
3130.0,0.00298831
3143.57,0.00267031
3155.62,0.00249549
3179.74,0.00229104
3227.97,0.00210791
3323.0,0.0019776
3535.96,0.00186867
4174.82,0.00169689
5026.65,0.00153633
6704.9,0.00132304
8383.16,0.00117506
9570.3,0.00111156
9870.82,0.00113633
9966.44,0.0011911
10021.1,0.0012789
10051.8,0.00138334
10075.7,0.00153417
10094.1,0.0017404
10107.8,0.00200007
10118.1,0.00230782
10126.6,0.00270168
10133.3,0.00315476
10139.8,0.00380083
10145.3,0.00461575
10149.8,0.00558465
10153.7,0.00676816
10157.1,0.00826567
10160.1,0.0101196
10162.7,0.012385
10165.1,0.0153191
10167.1,0.0187752
10168.9,0.0230646
10170.4,0.0281352
10171.9,0.0347548
10173.2,0.0435341
10174.3,0.0531044
10175.3,0.0661664
10176.2,0.0806731
10176.9,0.0992682
10177.6,0.121009
10178.1,0.145262
10178.5,0.173251
10178.9,0.213053
10179.3,0.256616
10179.6,0.31722
10179.9,0.392357
10180.2,0.49601
10180.4,0.627977
10180.7,0.803457
10181.0,1.03587
10181.3,1.33874
10181.5,1.76092
10181.9,2.3863
10182.2,3.24514
10182.7,4.5699
10184.0,9.06342
10184.5,10.3086
10184.9,10.8204
10185.0,10.8289
10185.5,10.402
10186.0,9.12022
10187.4,4.24604
10187.8,3.0493
10188.2,2.24867
10188.5,1.65497
10188.8,1.2671
10189.1,0.986626
10189.3,0.77689
10189.6,0.616243
10189.8,0.494353
10190.1,0.391227
10190.4,0.314557
10190.8,0.252484
10191.1,0.204167
10191.6,0.165613
10192.1,0.134361
10192.8,0.108645
10193.5,0.0892927
10194.2,0.073495
10195.1,0.0600813
10196.1,0.0493713
10197.3,0.0399257
10198.6,0.032412
10200.1,0.0263029
10201.9,0.0210854
10204.0,0.0168973
10206.2,0.0136962
10208.6,0.0112338
10211.5,0.00910486
10214.5,0.00750366
10218.1,0.00617608
10222.6,0.00503503
10227.3,0.00418582
10233.1,0.00348151
10238.1,0.00304775
10246.2,0.00256238
10256.1,0.00217263
10268.0,0.00187614
10285.8,0.001613
10301.6,0.00147189
10325.4,0.00134466
10365.0,0.00123017
10428.3,0.00114882
10491.7,0.00111085
10874.0,0.0010479
11395.1,0.00102943
11800.9,0.00105612
11972.2,0.00112359
12052.4,0.00120587
12100.5,0.00129667
12148.6,0.00146045
12181.0,0.00165515
12206.3,0.00190377
12225.5,0.00220375
12241.6,0.00256254
12254.4,0.00298697
12266.6,0.00356841
12277.4,0.00432425
12286.5,0.00523919
12294.5,0.00640956
12301.7,0.00792644
12307.3,0.00958748
12312.7,0.0118353
12317.5,0.0146644
12321.7,0.018158
12325.2,0.022206
12328.7,0.0278757
12331.9,0.0350162
12334.3,0.0429073
12336.6,0.05289
12338.7,0.0658515
12340.6,0.0823302
12342.2,0.101703
12343.5,0.124479
12344.9,0.155874
12346.1,0.194709
12347.1,0.239453
12347.9,0.292362
12348.7,0.360712
12349.3,0.433296
12349.9,0.53397
12350.4,0.657215
12350.9,0.817599
12351.3,1.00224
12351.7,1.23825
12352.0,1.52573
12352.4,1.89975
12352.8,2.44369
12353.2,3.25155
12353.7,4.35969
12354.3,6.12813
12355.8,11.5872
12356.5,13.1094
12357.0,13.5631
12357.5,13.1855
12358.1,11.7341
12359.2,8.00561
12360.0,5.38363
12360.5,3.95829
12360.9,2.96898
12361.3,2.30394
12361.7,1.79375
12362.1,1.40547
12362.5,1.11158
12363.0,0.876056
12363.4,0.707981
12363.9,0.574371
12364.5,0.461651
12365.1,0.379251
12365.9,0.310313
12366.7,0.252452
12367.7,0.204915
12368.7,0.166367
12370.0,0.133589
12371.4,0.1079
12373.0,0.0868078
12374.8,0.0702214
12376.8,0.05658
12379.1,0.0451674
12381.5,0.0368147
12384.6,0.0293523
12387.7,0.0237649
12391.1,0.0194576
12395.1,0.0157451
12399.9,0.0126002
12404.8,0.0103238
12410.7,0.00837383
12416.3,0.00704013
12424.3,0.00567647
12432.3,0.00472563
12442.0,0.00392367
12452.8,0.00329187
12466.0,0.00276234
12480.8,0.0023571
12500.0,0.00201163
12517.9,0.00179928
12539.5,0.00160474
12570.6,0.00143174
12622.4,0.00126247
12684.6,0.0011577
12788.3,0.00106769
12871.3,0.00103072
13203.1,9.68865E-4
14385.6,9.14649E-4
15052.9,9.06595E-4
15738.6,9.34244E-4
16035.2,9.97214E-4
16202.0,0.00109007
16313.2,0.00122112
16387.3,0.00138264
16442.9,0.00158634
16489.3,0.00186388
16521.7,0.00215636
16550.4,0.00254141
16576.4,0.00305633
16598.6,0.00370895
16617.1,0.00449919
16633.8,0.00552228
16648.6,0.00684042
16661.6,0.00850476
16672.7,0.0105354
16682.0,0.012906
16691.3,0.0162383
16698.7,0.0199707
16706.0,0.0250788
16712.4,0.0313079
16717.9,0.0387741
16723.4,0.0487992
16728.6,0.0620706
16733.6,0.0796343
16738.2,0.101258
16743.5,0.133732
16751.7,0.191918
16755.4,0.209485
16758.1,0.21376
16761.7,0.206542
16766.3,0.18035
16775.3,0.117629
16780.1,0.0909432
16785.0,0.0709309
16789.6,0.0567126
16794.8,0.0449333
16800.4,0.0358169
16806.5,0.0285503
16813.0,0.0230061
16820.1,0.0186221
16828.4,0.0149061
16837.7,0.0119766
16847.2,0.00982034
16857.6,0.00809987
16871.1,0.00651736
16884.0,0.0054334
16898.9,0.00453389
16917.4,0.00373578
16939.6,0.00307648
16965.6,0.00255591
16995.2,0.0021558
17029.5,0.00184841
17073.1,0.00158746
17128.7,0.00137931
17202.8,0.00121289
17314.0,0.00107558
17480.8,9.74517E-4
17777.4,8.98317E-4
18426.1,8.4341E-4
19649.3,8.10914E-4
22600.9,7.90111E-4
25780.5,8.17294E-4
27484.4,8.6811E-4
28290.1,9.37401E-4
28613.6,0.00101466
28791.5,0.00111085
28904.8,0.00122887
28985.6,0.00137832
29050.3,0.00158047
29098.8,0.00182712
29137.3,0.00212937
29167.6,0.0024866
29191.9,0.00289752
29216.1,0.00349158
29237.3,0.00425909
29255.5,0.00522668
29270.7,0.00639164
29284.1,0.00784107
29296.2,0.00973651
29305.9,0.0118759
29314.4,0.0144553
29322.7,0.0179594
29329.7,0.0221447
29336.0,0.0272568
29341.7,0.0336447
29346.7,0.0415287
29351.6,0.0520676
29355.8,0.0650142
29359.4,0.0798886
29362.9,0.100456
29365.7,0.123082
29368.6,0.153994
29371.0,0.190224
29373.4,0.239718
29375.5,0.298608
29377.8,0.38426
29380.1,0.500339
29382.8,0.682315
29386.8,0.976865
29388.4,1.05971
29390.1,1.09317
29391.8,1.06314
29393.8,0.956735
29399.1,0.563881
29401.3,0.43706
29403.6,0.337323
29405.7,0.269992
29408.1,0.21211
29410.6,0.169379
29413.4,0.134156
29416.3,0.108259
29419.5,0.0870926
29422.9,0.0711153
29426.9,0.0570076
29431.0,0.0465166
29435.9,0.037561
29441.1,0.0306386
29447.4,0.0245021
29454.7,0.0195402
29462.8,0.0156575
29472.1,0.0125238
29480.6,0.0104598
29490.3,0.00871004
29503.4,0.00702218
29517.4,0.00576749
29532.5,0.00479434
29550.7,0.00397
29572.0,0.00330415
29596.2,0.00278063
29626.6,0.00233945
29665.0,0.00197784
29713.5,0.00169222
29778.2,0.00146659
29859.1,0.00130713
29972.3,0.0011888
30166.4,0.00109989
30522.2,0.00105597
30651.7,0.00105398
31615.7,0.00111505
32874.2,0.00127467
33960.8,0.00150187
34799.0,0.00177584
35484.8,0.00210879
36043.6,0.00251509
36475.4,0.00299804
36754.8,0.00348609
36958.0,0.00404893
37097.7,0.0046706
37199.3,0.00538278
37275.5,0.00620531
37339.0,0.00724204
37389.8,0.00849415
37430.4,0.00997409
37468.5,0.012023
37499.0,0.0144433
37525.7,0.0175177
37549.8,0.0215623
37568.9,0.0261564
37584.7,0.0314802
37599.4,0.0382092
37613.6,0.0474594
37626.5,0.0593111
37637.4,0.073551
37647.6,0.0920767
37656.8,0.115692
37664.4,0.142669
37671.6,0.177004
37678.7,0.224031
37685.1,0.280883
37691.4,0.35678
37698.4,0.466787
37712.1,0.728123
37717.8,0.794643
37720.5,0.803641
37724.1,0.789947
37729.1,0.726835
37744.8,0.432786
37751.8,0.330961
37758.1,0.261558
37764.4,0.209705
37771.8,0.165904
37779.4,0.132809
37787.2,0.108085
37796.0,0.0874059
37806.7,0.0697069
37818.1,0.0562388
37831.4,0.0451524
37845.7,0.0367968
37860.3,0.0306815
37876.9,0.025682
37897.1,0.021273
37915.1,0.0185258
37939.0,0.0157654
37964.7,0.013704
37995.2,0.0119462
38033.5,0.0104746
38079.3,0.00930918
38140.5,0.00839698
38232.3,0.00773577
38354.6,0.00745294
38385.2,0.00744088
38568.7,0.0077454
38813.3,0.00872831
39088.6,0.0104971
39333.3,0.0127779
39547.3,0.0155418
39761.4,0.0193915
39944.9,0.0239372
40097.8,0.0289787
40281.3,0.0372642
40434.2,0.0468141
40587.2,0.0594523
40758.4,0.0782317
41088.7,0.120761
41211.1,0.129363
41260.0,0.130204
41382.3,0.125225
41541.4,0.107524
41810.5,0.0719784
41978.7,0.0547679
42116.3,0.0440175
42269.2,0.0350543
42422.2,0.0282986
42605.7,0.0223722
42789.2,0.0180591
43003.2,0.0144062
43217.3,0.0117317
43462.0,0.00949718
43737.2,0.00767607
44043.1,0.00621256
44379.5,0.00505459
44746.5,0.00413578
45174.7,0.00336234
45664.0,0.0027363
46153.3,0.00228517
46765.0,0.00188142
47376.7,0.0015876
48233.0,0.00130054
49211.7,0.00107666
50129.2,9.32328E-4
51352.5,7.93973E-4
52881.6,6.76905E-4
54716.6,5.85151E-4
57163.3,5.06681E-4
60527.5,4.41002E-4
65115.0,3.89462E-4
66950.0,3.77786E-4
67638.1,3.84584E-4
67905.7,4.01252E-4
68020.4,4.2588E-4
68096.8,4.64341E-4
68144.6,5.13934E-4
68180.9,5.79123E-4
68211.4,6.7203E-4
68234.3,7.92354E-4
68251.6,9.37956E-4
68264.5,0.00110392
68275.9,0.00131837
68285.9,0.00159384
68294.8,0.00195554
68302.3,0.00239969
68308.7,0.00294844
68314.4,0.00364778
68319.4,0.0045222
68323.6,0.00556617
68327.1,0.00677235
68330.2,0.00826287
68333.2,0.0102453
68335.6,0.012474
68337.8,0.0151631
68339.9,0.018921
68341.6,0.023152
68343.1,0.0282754
68344.4,0.0340914
68345.6,0.0418678
68346.8,0.052038
68347.9,0.0654733
68349.0,0.0833096
68350.1,0.106974
68351.4,0.142541
68352.9,0.197063
68357.2,0.383038
68358.9,0.432915
68360.1,0.445372
68361.3,0.435118
68363.0,0.388125
68366.0,0.255924
68367.8,0.177921
68369.3,0.130341
68370.4,0.100918
68371.5,0.0796333
68372.5,0.0634291
68373.6,0.0512283
68374.9,0.0405146
68376.3,0.0322905
68377.7,0.0264108
68379.3,0.0215149
68381.2,0.017336
68383.2,0.0142782
68385.6,0.0114797
68388.5,0.00922284
68391.5,0.00753096
68394.9,0.00613735
68398.5,0.0050649
68403.0,0.00411133
68408.3,0.00332547
68413.6,0.00275372
68419.9,0.00227438
68427.3,0.00186847
68436.1,0.00153985
68445.1,0.00130057
68457.6,0.0010761
68472.6,8.98517E-4
68489.7,7.66326E-4
68511.0,6.60198E-4
