82-Pb-206(n,&gamma;) ENDF/B-VII.1
1.0E-5,1.49971
1.31241E-5,1.3091
1.70876E-5,1.14727
2.2426E-5,1.00146
2.91987E-5,0.877661
3.83206E-5,0.766107
4.98935E-5,0.671405
6.54808E-5,0.58607
8.52562E-5,0.513631
1.11891E-4,0.448349
1.45682E-4,0.392924
1.91195E-4,0.342993
2.48937E-4,0.300596
3.26707E-4,0.262383
4.25373E-4,0.22995
5.58264E-4,0.200721
7.26861E-4,0.175918
9.53941E-4,0.153558
0.00124203,0.134571
0.00163006,0.117469
0.00212234,0.102948
0.00278538,0.0898656
0.00362657,0.0787776
0.00475955,0.0688804
0.00619694,0.060371
0.00813293,0.052698
0.0105891,0.0462397
0.0138972,0.0403219
0.0180942,0.0353285
0.0234661,0.0310704
0.0253,0.0298949
0.033204,0.0260534
0.0432317,0.0229001
0.0567377,0.0199429
0.0738726,0.0174889
0.0969512,0.0152553
0.126231,0.0133626
0.165666,0.0116591
0.215698,0.0102176
0.283085,0.00892037
0.40461,0.00745695
0.526803,0.00653955
0.691383,0.0057307
0.900182,0.00500411
1.18141,0.00436598
1.50722,0.00385486
1.97809,0.00336778
2.57548,0.00296432
2.98914,0.00273133
3.92298,0.00238537
5.10773,0.00209818
5.95298,0.00192762
7.43491,0.00172129
8.88865,0.00157132
11.8807,0.00135388
14.8445,0.00120648
17.7471,0.0010994
23.736,9.43405E-4
31.1138,8.18216E-4
38.931,7.27615E-4
49.7661,6.3285E-4
62.201,5.57349E-4
74.3631,5.03382E-4
99.5057,4.22622E-4
124.375,3.67663E-4
159.942,3.12256E-4
198.985,2.70009E-4
248.724,2.30652E-4
307.737,1.97386E-4
379.397,1.67819E-4
474.24,1.40896E-4
591.208,1.18388E-4
711.347,1.01893E-4
832.95,9.01562E-5
948.455,8.04927E-5
1185.56,6.78383E-5
1422.67,5.9316E-5
1707.2,5.23883E-5
1991.73,4.8432E-5
2276.26,4.66781E-5
2489.65,4.79088E-5
2655.63,5.15717E-5
2750.47,5.59904E-5
2845.31,6.36945E-5
2904.59,7.17272E-5
2952.01,8.09248E-5
2987.58,8.98882E-5
3035.0,1.07668E-4
3067.2,1.25184E-4
3107.45,1.57829E-4
3135.62,1.91977E-4
3155.75,2.26073E-4
3171.85,2.61723E-4
3183.93,2.95003E-4
3202.44,3.60779E-4
3219.34,4.47368E-4
3233.03,5.45596E-4
3245.91,6.72161E-4
3257.53,8.31776E-4
3270.32,0.00108742
3279.0,0.00133693
3287.47,0.00167448
3294.18,0.00204675
3301.0,0.00257148
3306.75,0.00318945
3313.31,0.00421567
3317.38,0.00511479
3321.42,0.00634112
3324.8,0.00774379
3327.94,0.00951305
3331.16,0.0120739
3333.78,0.014921
3336.19,0.0186086
3338.22,0.0228778
3340.22,0.0286844
3341.95,0.0357266
3343.56,0.044936
3344.9,0.0557121
3346.17,0.0698145
3347.26,0.0867123
3348.23,0.107585
3349.05,0.132142
3349.86,0.165398
3350.56,0.206303
3351.12,0.251451
3351.69,0.314052
3352.15,0.386234
3352.57,0.479273
3352.91,0.587145
3353.17,0.698789
3353.42,0.858033
3353.62,1.04244
3353.8,1.27798
3353.96,1.57044
3354.12,1.97584
3354.28,2.52704
3354.43,3.26314
3354.59,4.25847
3354.74,5.58529
3354.9,7.30953
3355.06,9.77873
3355.23,12.926
3355.43,17.5264
3355.68,24.7458
3356.38,48.6279
3356.7,56.526
3356.98,59.14
3357.0,59.1492
3357.27,57.0475
3357.58,49.8259
3358.39,22.6213
3358.63,15.9138
3358.83,11.7224
3359.0,8.82681
3359.16,6.64956
3359.3,5.15078
3359.45,3.99391
3359.6,3.10384
3359.74,2.46143
3359.88,1.9784
3360.04,1.57258
3360.2,1.27975
3360.37,1.05499
3360.57,0.867002
3360.82,0.705027
3361.09,0.587932
3361.39,0.490768
3361.81,0.394329
3362.27,0.319942
3362.84,0.255688
3363.42,0.208084
3364.12,0.166734
3364.85,0.136022
3365.69,0.109939
3366.66,0.0884534
3367.79,0.0705678
3369.07,0.0560968
3370.44,0.045111
3372.05,0.0358824
3373.78,0.0288237
3375.78,0.023002
3377.81,0.0187205
3380.22,0.0150209
3382.98,0.012012
3385.99,0.00964556
3388.88,0.00798264
3392.97,0.00629636
3397.05,0.00507904
3401.72,0.00408094
3406.38,0.00335327
3411.98,0.00270883
3418.51,0.00217235
3427.85,0.00164965
3436.25,0.00132727
3443.71,0.00111404
3453.05,9.15475E-4
3464.25,7.39404E-4
3477.31,5.9541E-4
3490.38,4.9304E-4
3505.31,4.04999E-4
3520.24,3.4004E-4
3535.18,2.90723E-4
3553.84,2.44396E-4
3576.24,2.02834E-4
3598.64,1.73769E-4
3627.48,1.44863E-4
3654.85,1.25179E-4
3679.0,1.11244E-4
3721.0,9.38252E-5
3773.5,7.91212E-5
3826.0,6.87974E-5
3868.0,6.28879E-5
3931.0,5.55975E-5
4036.0,4.8063E-5
4141.0,4.30729E-5
4309.0,3.80988E-5
4519.01,3.41092E-5
4687.01,3.20809E-5
5023.01,2.93679E-5
5695.01,2.62817E-5
6367.02,2.44525E-5
7711.02,2.22927E-5
9480.77,2.11169E-5
9906.52,2.12493E-5
10332.3,2.22442E-5
10438.7,2.30296E-5
10545.1,2.46436E-5
10611.7,2.68973E-5
10651.6,2.90279E-5
10684.8,3.22743E-5
10711.4,3.62972E-5
10734.7,4.2197E-5
10748.0,4.7339E-5
10760.5,5.40442E-5
10770.8,6.18129E-5
10780.3,7.19275E-5
10789.9,8.60889E-5
10797.5,1.02673E-4
10804.2,1.23189E-4
