82-Pb-208(n,inelastic) ENDF/B-VII.1
2627230.0,0.0
2700000.0,0.188486
2750000.0,0.256671
2800000.0,0.306216
3000000.0,0.467822
3200000.0,0.598639
3213250.0,0.605577
3250000.0,0.683116
3400000.0,0.823444
3491960.0,0.880332
3500000.0,0.902303
3600000.0,1.00225
3726430.0,1.10712
3750000.0,1.14779
3800000.0,1.19993
3900000.0,1.28761
3938810.0,1.30765
3965580.0,1.32896
3980170.0,1.34891
4000000.0,1.38949
4015080.0,1.39812
4070140.0,1.44799
4100000.0,1.50213
4105210.0,1.50423
4125910.0,1.52027
4145320.0,1.54287
4161080.0,1.56684
4179170.0,1.60005
4200680.0,1.64564
4225800.0,1.68264
4250520.0,1.72466
4274130.0,1.75637
4283070.0,1.77259
4300000.0,1.81072
4338940.0,1.85017
4379600.0,1.91024
4400000.0,1.94834
4443450.0,1.9857
4465550.0,2.0084
4502230.0,2.05525
4600000.0,2.13191
4648440.0,2.1592
4702700.0,2.19514
4733850.0,2.20921
4750000.0,2.21967
4800000.0,2.24134
4853420.0,2.258
5000000.0,2.33523
5200000.0,2.36308
5500000.0,2.43186
5750000.0,2.4408
6000000.0,2.49779
6250000.0,2.46259
6500000.0,2.47053
6750000.0,2.45144
7000000.0,2.47604
7250000.0,2.47982
7500000.0,2.49522
7700000.0,2.48324
7750000.0,2.47562
8000000.0,2.42249
8250000.0,2.30785
8500000.0,2.1674
8750000.0,2.00729
9000000.0,1.83435
9250000.0,1.6523
9500000.0,1.47881
9750000.0,1.31167
1.0E7,1.15424
1.05E7,0.950006
1.1E7,0.789959
1.15E7,0.669544
1.2E7,0.582715
1.25E7,0.520212
1.3E7,0.47329
1.35E7,0.437161
1.4E7,0.408961
1.45E7,0.386507
1.5E7,0.367928
1.6E7,0.33649
1.65E7,0.31748
1.7E7,0.30071
1.8E7,0.272551
1.9E7,0.245701
1.95E7,0.235006
2.05E7,0.218281
2.1E7,0.210371
2.2E7,0.195523
2.3E7,0.18203
2.4E7,0.169898
2.5E7,0.159201
2.6E7,0.150217
2.7E7,0.1427
2.8E7,0.136225
2.9E7,0.130579
3.0E7,0.125657
3.0E7,0.0
1.5E8,0.0
