3-Li-7(n,elastic) ENDF/B-VII.1
1.0E-5,21.1201
1.31241E-5,18.4409
1.70876E-5,16.167
2.2426E-5,14.1189
2.91987E-5,12.3811
3.83206E-5,10.8163
4.98935E-5,9.489
6.54808E-5,8.29445
8.52562E-5,7.28189
1.11891E-4,6.37136
1.45682E-4,5.60039
1.91195E-4,4.90811
2.48937E-4,4.32303
3.26707E-4,3.79894
4.25373E-4,3.35739
5.58264E-4,2.96347
7.26861E-4,2.63331
9.53941E-4,2.34073
0.00124203,2.09759
0.00163006,1.88441
0.00232983,1.65471
0.00333,1.4743
0.00475955,1.33547
0.00740863,1.2106
0.0116243,1.12496
0.0216322,1.05404
0.0234661,1.04763
0.0253,1.04216
0.0617907,1.00191
0.368577,0.980904
0.526803,0.980451
24.5996,1.00495
156.903,1.03191
1097.77,1.06
109776.0,0.981649
120000.0,0.980232
150000.0,0.997319
180000.0,1.0893
200000.0,1.39187
213750.0,1.81298
220000.0,2.03115
230000.0,3.17869
240000.0,5.06204
250000.0,8.94368
260000.0,11.7688
271250.0,8.9651
280000.0,6.22393
290000.0,4.43884
300000.0,3.20645
312500.0,2.52804
320000.0,2.18256
330000.0,1.85081
340000.0,1.67627
380000.0,1.33623
400000.0,1.2405
450000.0,1.11179
500000.0,1.03429
600000.0,1.00097
725000.0,1.03968
900000.0,1.22798
1050000.0,1.42662
1200000.0,1.49532
1400000.0,1.51144
1700000.0,1.46784
1950000.0,1.51888
2650000.0,1.77575
3145400.0,1.83571
3200000.0,1.83548
3658600.0,1.8837
4000000.0,2.04348
4350000.0,2.20512
4600000.0,2.23484
4950000.0,2.12029
5148910.0,1.9639
5400000.0,1.69943
5600000.0,1.5936
5700000.0,1.59039
5900000.0,1.60488
7500000.0,1.32253
9754000.0,1.21943
1.18975E7,1.10503
1.45055E7,0.995709
2.0E7,0.86378
