82-Pb-204(n,inelastic) ENDF/B-VII.1
903617.0,0.0
1000000.0,0.240051
1200000.0,0.46025
1280300.0,0.497039
1357850.0,0.577599
1400000.0,0.692416
1571000.0,0.892642
1590590.0,0.923993
1600000.0,0.967752
1612700.0,0.975308
1673510.0,1.03914
1689510.0,1.06469
1720670.0,1.12816
1738520.0,1.17256
1769790.0,1.25753
1800000.0,1.36155
1826440.0,1.3879
1881370.0,1.45461
1942850.0,1.54544
1957980.0,1.57241
1970050.0,1.59771
2000000.0,1.67386
2075410.0,1.74523
2115890.0,1.78763
2168600.0,1.85543
2200000.0,1.90049
2400000.0,2.07639
2600000.0,2.21467
2800000.0,2.32317
3000000.0,2.40701
3200000.0,2.47017
3400000.0,2.51705
3600000.0,2.55188
3800000.0,2.57835
4200000.0,2.61648
4600000.0,2.639
4800000.0,2.64283
5000000.0,2.64089
5400000.0,2.62136
6400000.0,2.53816
6800000.0,2.51592
7200000.0,2.50597
7400000.0,2.5053
8500000.0,2.52576
9000000.0,2.40209
9500000.0,2.14019
1.0E7,1.78675
1.05E7,1.42224
1.1E7,1.1005
1.15E7,0.843108
1.2E7,0.646773
1.25E7,0.508845
1.3E7,0.415316
1.35E7,0.352684
1.4E7,0.310999
1.45E7,0.282498
1.5E7,0.263248
1.6E7,0.239223
1.7E7,0.227764
1.8E7,0.215635
1.9E7,0.205754
2.0E7,0.197046
2.0E7,0.0
2.0E8,0.0
