82-Pb-206(n,elastic) ENDF/B-VII.1
1.0E-5,46.3339
1.30872E-5,40.8159
1.71758E-5,35.9892
2.23629E-5,31.9389
2.93493E-5,28.3438
3.82129E-5,25.3502
5.0151E-5,22.719
7.16804E-5,19.8736
1.02452E-4,17.627
1.46434E-4,15.8874
2.09297E-4,14.5709
3.25788E-4,13.4094
5.56694E-4,12.5137
0.00113726,11.862
0.00332064,11.4508
0.0244901,11.2656
0.0253,11.2647
663.926,10.5488
2560.79,9.99032
3279.72,9.90625
3344.28,10.035
3350.24,10.4042
3352.05,10.9001
3353.06,11.6505
3353.56,12.5575
3353.86,13.6308
3354.16,15.5863
3354.38,17.9582
3354.58,21.3405
3354.79,26.2922
3354.99,33.3079
3355.2,42.8554
3355.42,56.4305
3355.68,76.7716
3356.42,144.529
3356.71,162.962
3357.0,169.665
3357.27,163.633
3357.56,146.346
3358.09,97.3357
3358.42,68.0405
3358.67,50.7766
3358.89,38.5181
3359.07,30.9059
3359.26,24.8979
3359.43,21.102
3359.62,17.9903
3359.85,15.4325
3360.14,13.619
3360.51,12.3494
3361.15,11.4094
3362.47,10.6791
3365.69,10.1843
3380.47,9.92919
10825.3,9.53981
10854.0,9.55606
10855.9,9.7357
10857.0,10.3068
10859.5,12.9156
10860.0,13.085
10861.0,12.5355
10862.9,10.3748
10863.9,9.79291
10865.4,9.56501
11280.2,9.52631
11290.6,9.66503
11292.0,9.7192
11300.5,9.52743
14102.5,9.45217
14198.9,9.57928
14204.0,9.82183
14206.3,10.3162
14207.3,11.0794
14208.1,12.3498
14208.7,14.0096
14209.3,16.872
14209.9,21.014
14210.8,28.8616
14211.9,38.3798
14212.6,41.8626
14213.0,42.3623
14213.7,40.717
14214.4,35.8745
14216.0,21.862
14216.6,17.3551
14217.2,14.6098
14217.8,12.8407
14218.4,11.4967
14219.1,10.7542
14220.2,10.2021
14223.3,9.74576
14237.2,9.50056
16285.0,9.23566
16373.5,8.89819
16396.0,8.42195
16405.2,7.81389
16408.6,7.34218
16411.7,6.5563
16414.9,5.16693
16415.5,5.0587
16416.1,5.17959
16416.6,5.63393
16417.2,6.53108
16417.8,7.99315
16418.4,10.3405
16420.2,17.5699
16421.0,19.649
16421.7,20.4636
16422.0,20.4865
16423.2,19.2244
16425.5,15.1431
16426.8,13.6687
16429.0,12.4066
16432.4,11.4934
16438.0,10.8031
16447.0,10.3241
16477.0,9.8365
16624.0,9.52482
19547.1,9.35713
19715.2,9.47486
19724.2,9.82885
19726.2,10.2918
19727.2,10.947
19727.9,11.9338
19728.7,13.7866
19729.4,16.2276
19730.1,20.2149
19730.9,26.4556
19732.7,42.2139
19733.5,46.64
19734.0,47.4639
19734.7,45.928
19735.4,41.7595
19737.5,22.9646
19738.2,18.4039
19738.8,15.2727
19739.3,13.3997
19740.0,11.9005
19740.8,10.8211
19742.1,10.0487
19744.2,9.68218
19753.6,9.41335
19782.8,9.34891
19788.7,9.4866
19793.1,10.1792
19798.5,9.42368
21749.9,9.30972
21860.8,9.39175
21864.2,9.5658
21865.5,9.93241
21866.5,10.5997
21867.4,11.7827
21868.2,13.6958
21869.8,18.3445
21870.9,21.6591
21871.9,22.8202
21872.0,22.8376
21872.9,21.988
21874.0,18.9967
21875.7,13.7966
21876.6,11.7015
21877.6,10.4364
21878.6,9.81538
21880.4,9.45895
21903.3,9.30712
23766.9,9.27909
24921.3,9.46563
25093.8,9.86039
25096.6,10.1835
25098.3,11.0201
25100.0,12.8515
25101.9,15.2266
25103.0,15.6739
25104.2,15.0448
25107.3,11.3832
25108.5,10.5366
25110.0,10.0616
25113.3,9.89067
25204.4,10.5473
25255.7,11.5153
25285.3,12.6237
25307.7,14.0807
25325.7,16.0116
25341.4,18.7672
25352.6,21.8327
25361.6,25.3938
25370.6,30.5259
25378.5,37.0036
25385.7,45.4748
25393.2,57.6475
25401.1,74.6904
25412.3,101.784
25417.4,109.198
25420.3,110.375
25423.6,108.794
25430.0,98.1754
25444.7,63.3248
25452.5,49.4351
25460.1,39.7176
25466.8,33.4987
25475.5,27.7845
25484.5,23.6668
25497.0,19.8254
25512.4,16.857
25527.8,14.972
25548.3,13.3776
25579.1,11.9955
25625.3,10.9379
25707.4,10.1341
25894.8,9.58404
